Track ID,Track Name,Album Name,Artist Name(s),Release Date,Added By,Added At,Genres,Record Label,Duration (ms),Popularity,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,,PC1,PC2,PC3
1rDv9zMxiIrLAmXXJQIzHm,International Harvester,Little Bit Of Life,Craig Morgan,10/31/2006,kelley3clan,2016-12-23T05:57:26Z,country,Broken Bow Records,228653,0,0.699,0.837,2,-5.173,1,0.0428,0.103,0,0.231,0.348,95.493,4,,-2.756435758,0.735394997,0.833835026
3qtZwBkPpK2Q8fcYRHm4AX,It All Started With a Beer - Single Version,It All Started with a Beer,Frankie Ballard,11/06/2015,kelley3clan,2016-12-23T05:57:31Z,country,Warner Records,237800,48,0.541,0.505,2,-8.067,1,0.0254,0.405,0,0.131,0.367,74.004,4,,-2.733160257,-0.776073137,0.430916234
1yEwEiTpsaPhQi9lb5EVV4,Knee Deep (feat. Jimmy Buffett),You Get What You Give (Deluxe),"Zac Brown Band,Jimmy Buffett",09/20/2010,kelley3clan,2016-12-23T05:57:35Z,country,Southern Ground/Atlantic,203173,2,0.715,0.584,8,-8.231,1,0.0296,0.432,1.41E-06,0.095,0.61,90.987,4,,0.861416771,0.002929849,0.472123717
5Envb7eThv4yf0Fs4TZyQY,(This Ain’t No) Drunk Dial,(This Ain’t No) Drunk Dial,A Thousand Horses,01/20/2015,kelley3clan,2016-12-23T05:57:39Z,country,Big Machine Label Group,210386,0,0.398,0.896,4,-4.749,1,0.0506,0.00958,0,0.341,0.586,158.076,4,,-1.43327391,-0.414981407,0.897423459
19PJf5HzeiVW0mdk82Swmn,H.O.L.Y.,H.O.L.Y.,Florida Georgia Line,04/29/2016,kelley3clan,2016-12-23T05:57:44Z,country,"Big Machine Label Group, LLC",196960,0,0.526,0.661,7,-3.828,0,0.0333,0.361,0,0.087,0.556,78.132,4,,0.078267564,-1.082309173,1.329261539
0yD66650JxhqKbW76C2qCo,Country Girl (Shake It For Me),Tailgates & Tanlines,Luke Bryan,08/09/2011,kelley3clan,2016-12-23T05:57:56Z,country,Capitol Nashville,225560,2,0.645,0.904,2,-4.532,1,0.0462,0.0293,0,0.0834,0.671,105.97,4,,-0.233252802,-0.774170831,0.183122397
4K7dgGjZ0VxlsAOmhxIBXP,Mad Love,Bronco,Canaan Smith,06/23/2015,kelley3clan,2016-12-23T05:57:56Z,country,Mercury Nashville,168333,25,0.57,0.744,7,-6.166,0,0.0365,0.0224,0,0.153,0.572,141.773,4,,-0.110283468,0.012336112,1.879747262
0qup7d7G2WffwARHKrqT2x,Somebody Like You,Greatest Hits,Keith Urban,01/01/2007,kelley3clan,2016-12-23T05:57:56Z,country,Capitol Nashville,323466,55,0.646,0.887,9,-4.453,1,0.038,0.128,0.00027,0.0698,0.525,110.966,4,,-0.069396831,0.103862805,0.638703542
3qn7FzYkDLJBbOnRwSsDWV,Night Train,Night Train,Jason Aldean,10/16/2012,kelley3clan,2016-12-23T05:57:56Z,country,Broken Bow Records,232306,0,0.493,0.708,5,-5.196,1,0.0291,0.0575,0,0.175,0.547,158.037,4,,0.31453873,-0.127013082,1.068800376
3zNpjr7DpfO5AGnndIkpYy,"Been There, Done That",Tailgates & Tanlines,Luke Bryan,08/09/2011,kelley3clan,2016-12-23T05:57:56Z,country,Capitol Nashville,269813,0,0.528,0.86,0,-4.109,1,0.0338,0.122,9.61E-05,0.0813,0.641,156.037,4,,-0.031518023,-0.375021036,1.563673404
