Track Name,Album Name,Artist Name(s),Genres,Duration (ms),Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Valence,Tempo,,PC1,PC2,PC3
Rainy Days,Layover,V,pop,179560,0.633,0.454,-8.016,0.0875,0.739,0,0.282,74.828,,-3.437455043,0.225931311,-0.911695616
Blue,Layover,V,pop,149853,0.735,0.442,-9.529,0.0719,0.68,0.0011,0.277,128.013,,-3.289660082,-0.195191561,-1.776241695
Love Me Again,Layover,V,pop,182293,0.633,0.607,-6.182,0.0532,0.183,1.38E-06,0.363,74.029,,-1.478633776,-0.355754958,0.532951502
For Us,Layover,V,pop,171160,0.556,0.339,-11.128,0.033,0.798,0.0118,0.215,84.968,,-4.572822652,1.034522214,-0.955833639
Slow Dancing (Piano Ver.),Layover,V,pop,188093,0.609,0.614,-8.154,0.0699,0.366,0.00108,0.564,156.019,,-1.516861614,-0.381983176,-0.874424178
TOO MUCH,TOO MUCH,"The Kid LAROI,Jung Kook,Central Cee",pop,203894,0.753,0.719,-5.607,0.199,0.264,0,0.474,94.977,,-0.735045147,-1.068703058,-0.588250048
I Need U,The Most Beautiful Moment in Life Pt.1,BTS,pop,210986,0.478,0.88,-3.097,0.0739,0.0213,0,0.707,158.356,,1.037985571,-0.727205803,0.344307812
STUPID IN LOVE (feat. HUH YUNJIN of LE SSERAFIM),LOVE IN STEREO,"MAX,HUH YUNJIN",pop,173336,0.656,0.695,-5.295,0.103,0.0824,0,0.589,152.859,,-0.061362864,-1.139491235,-0.619113292
By My Side,By My Side,JUNNY,rap,206680,0.466,0.429,-4.52,0.0445,0.672,0,0.375,179.462,,-1.915455036,0.771663542,-1.268764276
Intro: Singularity,Love Yourself 轉 'Tear',BTS,pop,196998,0.775,0.272,-9.126,0.091,0.56,0.00278,0.198,103.991,,-3.687180951,0.238758254,-1.258031931
V (Peace) (feat. AKMU),Zip,"Zion.T,AKMU",rap,148747,0.84,0.705,-6.79,0.0918,0.257,0.000226,0.925,160.064,,-1.083117798,-2.632973169,-0.943794647
Super Shy,NewJeans 'Super Shy',NewJeans,pop,154666,0.776,0.817,-6.018,0.0748,0.18,3.44E-05,0.515,149.921,,-0.289869911,-1.531387381,-0.663699541
Still With You,Still With You,Jung Kook,pop,239905,0.529,0.469,-6.967,0.0358,0.0899,1.53E-05,0.344,87.864,,-1.6840945,0.66741119,0.997843135
Back for More (with Anitta),Back for More (with Anitta),"TOMORROW X TOGETHER,Anitta",pop,131037,0.785,0.897,-3.447,0.158,0.0452,0,0.891,115.916,,0.436934941,-3.068772454,-0.415394122
Intro,My Everything (Deluxe),Ariana Grande,pop,79840,0.447,0.182,-12.439,0.0324,0.968,3.83E-05,0.0959,89.601,,-5.6408207,1.115403516,-2.524748646
bye,eternal sunshine,Ariana Grande,pop,164927,0.606,0.645,-4.835,0.0333,0.204,0,0.453,110.016,,-1.004573706,-0.647823961,0.298203789
