Track Name,Album Name,Artist Name(s),Release Date,Added At,Genres,Duration (ms),Popularity,Danceability,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Play Count
Sunkissed,Now and Then,khai dreams,10/11/2019,2025-03-21T00:00:28Z,,126464,60,0.766,6,-9.486,0.0543,0.595,0,0.381,0.792,153.902,4,115
UWU,UWU,Chevy,12/22/2018,2025-03-21T00:00:28Z,,109966,49,0.859,5,-16.614,0.0886,0.985,0,0.138,0.177,116.889,4,29
Lemonade,Thankful,"Jeremy Passion,Melissa Polinar,Gabe Bondoc",11/28/2019,2025-03-21T00:00:28Z,,184084,56,0.519,8,-11.927,0.049,0.726,0,0.142,0.563,122.366,4,42
No Matter Where You Are,No Matter Where You Are,Us The Duo,5/2/2014,2025-03-21T00:00:28Z,folk pop,178826,51,0.693,4,-5.852,0.0336,0.0309,0,0.223,0.436,132.059,4,27
I'm Yours,I'm Yours,Jason Mraz,2/12/2008,2025-03-21T00:00:28Z,"soft pop,acoustic pop",243494,56,0.693,11,-9.395,0.0442,0.565,0,0.0928,0.731,151.001,4,32
I Do Adore,Anchor,Mindy Gledhill,8/10/2010,2025-03-21T00:00:28Z,,149160,46,0.69,9,-5.626,0.066,0.947,0,0.0895,0.8,74.721,4,30
Sugar,V,Maroon 5,9/2/2014,2025-03-21T00:00:28Z,pop,235493,80,0.748,1,-7.055,0.0334,0.0591,0,0.0863,0.884,120.076,4,37
What is Love?,Summer Nights,TWICE,7/9/2018,2025-03-21T00:00:28Z,k-pop,208240,73,0.574,8,-1.573,0.0658,0.0987,0,0.264,0.569,169.966,4,24
La Da Dee,Surfers Paradise (Expanded),Cody Simpson,7/23/2013,2025-03-21T00:00:28Z,,196786,64,0.657,5,-5.544,0.0728,0.00847,0,0.326,0.566,115.954,4,42
If I Can't Have You,Shawn Mendes (Deluxe),Shawn Mendes,6/19/2019,2025-03-21T00:00:28Z,pop,191466,72,0.691,2,-4.197,0.0622,0.489,0,0.134,0.87,123.943,4,47
Your Soul,Nostalgia Pack,"Forrest Frank,Forrest.",5/26/2023,2025-03-21T00:00:28Z,"christian hip hop,christian pop,pop worship,christian,worship,gospel r&b",178280,51,0.852,9,-3.941,0.367,0.0287,0,0.148,0.842,139.946,4,60
Sucker,Happiness Begins,Jonas Brothers,6/7/2019,2025-03-21T00:00:28Z,,181026,77,0.842,1,-5.065,0.0588,0.0427,0,0.106,0.952,137.958,4,2
Wake Me Up Before You Go-Go,Make It Big,Wham!,10/23/1984,2025-03-21T00:00:28Z,christmas,231333,79,0.62,0,-11.893,0.0423,0.271,0,0.0607,0.897,81.548,4,23
Me & You,Stuck On Repeat,Stereo Skyline,7/20/2010,2025-03-21T00:00:28Z,,179266,11,0.725,9,-3.269,0.166,0.00615,0,0.151,0.678,149.962,4,26
the snack that smiles back (feat. raychel jay),MANGOTALE,"Shawn Wasabi,raychel jay",5/29/2020,2025-03-21T00:00:28Z,,204308,36,0.761,4,-1.898,0.121,0.646,0.00014,0.326,0.309,94.011,4,26
Bubblegum K.K. (From Animal Crossing: New Leaf),Year 7,Qumu,9/13/2021,2025-03-21T00:00:28Z,,158400,46,0.488,7,-12.519,0.0754,0.286,0.871,0.0662,0.431,113.23,5,23
The Cuppycake Song,The Cuppycake Song,Amy Castle,1/1/1995,2025-03-21T00:00:28Z,,42885,51,0.572,0,-6.521,0.0385,0.394,0.000666,0.0824,0.513,120.352,4,22
