Track Name,Album Name,Artist Name(s),Genres,Duration (ms),Popularity,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Song Age
No Matter Where You Are,No Matter Where You Are,Us The Duo,folk pop,178826,51,0.693,0.664,4,-5.852,1,0.0336,0.0309,0,0.223,0.436,132.059,4,10.92128679
I'm Yours,I'm Yours,Jason Mraz,"soft pop,acoustic pop",243494,56,0.693,0.43,11,-9.395,1,0.0442,0.565,0,0.0928,0.731,151.001,4,17.13894593
Sugar,V,Maroon 5,pop,235493,80,0.748,0.788,1,-7.055,1,0.0334,0.0591,0,0.0863,0.884,120.076,4,10.58453114
What is Love?,Summer Nights,TWICE,k-pop,208240,73,0.574,0.909,8,-1.573,1,0.0658,0.0987,0,0.264,0.569,169.966,4,6.735112936
If I Can't Have You,Shawn Mendes (Deluxe),Shawn Mendes,pop,191466,72,0.691,0.823,2,-4.197,1,0.0622,0.489,0,0.134,0.87,123.943,4,5.790554415
Your Soul,Nostalgia Pack,"Forrest Frank,Forrest.","christian hip hop,christian pop,pop worship,christian,worship,gospel r&b",178280,51,0.852,0.854,9,-3.941,1,0.367,0.0287,0,0.148,0.842,139.946,4,1.856262834
Wake Me Up Before You Go-Go,Make It Big,Wham!,christmas,231333,79,0.62,0.573,0,-11.893,1,0.0423,0.271,0,0.0607,0.897,81.548,4,40.44353183
you mean the whole wide world to me,you mean the whole wide world to me,Christina Perri,soft pop,108953,45,0.888,0.327,0,-10.787,1,0.0435,0.963,1.16E-05,0.103,0.773,133.962,4,6.302532512
Beautiful (feat. Camila Cabello),Beautiful (feat. Camila Cabello),"Bazzi,Camila Cabello",pop,180000,70,0.638,0.717,2,-4.722,1,0.0337,0.346,0,0.105,0.249,100.027,4,6.669404517
Trouble,Me and My Uke,Never Shout Never,emo,145906,54,0.809,0.28,10,-8.818,1,0.329,0.918,0,0.179,0.564,122.046,4,15.41409993
Falling In Love,No Matter Where You Are,Us The Duo,folk pop,229280,33,0.634,0.434,9,-9.079,1,0.0253,0.737,4.82E-06,0.17,0.352,82.474,3,10.92128679
Lost in the Woods,Frozen 2 (Original Motion Picture Soundtrack/Deluxe Edition),Jonathan Groff,musicals,180762,66,0.366,0.478,8,-6.972,1,0.0277,0.695,8.91E-06,0.124,0.293,149.318,4,5.382614648
Sad Song (feat. Elena Coats),Somewhere Somehow,"We The Kings,Elena Coates",pop punk,226330,65,0.512,0.526,1,-5.44,1,0.0251,0.0724,0,0.0675,0.249,85.024,4,12.25188227
All of Me,Love In The Future (Expanded Edition),John Legend,"soft pop,neo soul",269560,86,0.422,0.264,8,-7.064,1,0.0322,0.922,0,0.132,0.331,119.93,4,11.59206023
SUGA SWEET,SUGA SWEET,FAKY,"j-pop,anime,j-r&b",172800,22,0.541,0.839,1,-3.454,0,0.0479,0.0423,8.47E-06,0.087,0.427,174.98,4,7.592060233
Perfect Two,Perfect Two,Auburn,russelåter,233628,46,0.52,0.355,7,-7.228,1,0.0503,0.828,0,0.0898,0.743,78.062,4,11.75633128
Better Together,Better Together,Us The Duo,folk pop,200706,59,0.761,0.311,5,-10.597,1,0.0692,0.647,0,0.15,0.553,109.891,4,9.932922656
Say You Won't Let Go,Back from the Edge,James Arthur,soft pop,211466,84,0.358,0.557,10,-7.398,1,0.059,0.695,0,0.0902,0.494,85.043,4,8.429842574
