Track ID,Track Name,Album Name,Artist Name(s),Release Date,Added By,Added At,Genres,Record Label,Duration (ms),Popularity,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
4TTV7EcfroSLWzXRY6gLv6,Alexander Hamilton,Hamilton (Original Broadway Cast Recording),"Leslie Odom Jr.,Daveed Diggs,Okieriete Onaodowan,Lin-Manuel Miranda,Phillipa Soo,Christopher Jackson,Original Broadway Cast of Hamilton,Anthony Ramos",9/25/2015,1163110866,2022-06-06T07:45:57Z,musicals,Atlantic Records,236737,73,0.609,0.435,-7.861,0.285,0.522,0,0.118,0.552,131.995
4cxvludVmQxryrnx1m9FqL,My Shot,Hamilton (Original Broadway Cast Recording),"Lin-Manuel Miranda,Daveed Diggs,Okieriete Onaodowan,Leslie Odom Jr.,Original Broadway Cast of Hamilton,Anthony Ramos",9/25/2015,1163110866,2022-06-06T07:46:07Z,musicals,Atlantic Records,333154,72,0.698,0.649,-6.764,0.415,0.15,0,0.0903,0.568,180.466
71X7bPDljJHrmEGYCe7kQ8,The Schuyler Sisters,Hamilton (Original Broadway Cast Recording),"Renée Elise Goldsberry,Phillipa Soo,Jasmine Cephas-Jones,Leslie Odom Jr.,Original Broadway Cast of Hamilton",9/25/2015,1163110866,2022-06-06T07:46:12Z,musicals,Atlantic Records,186542,72,0.74,0.727,-6.253,0.278,0.187,0,0.627,0.792,101.409
6OG1S805gIrH5nAQbEOPY3,You'll Be Back,Hamilton (Original Broadway Cast Recording),"Jonathan Groff,Original Broadway Cast of Hamilton",9/25/2015,1163110866,2022-06-06T07:46:16Z,musicals,Atlantic Records,208321,72,0.607,0.466,-7.562,0.0578,0.39,0,0.135,0.434,121.741
54Sc7mZQ1RM03STpk4SfaA,Helpless,Hamilton (Original Broadway Cast Recording),"Phillipa Soo,Original Broadway Cast of Hamilton",9/25/2015,1163110866,2022-06-06T07:46:20Z,musicals,Atlantic Records,249770,71,0.688,0.491,-7.494,0.269,0.334,0,0.0914,0.737,79.009
3dP0pLbg9OfVwssDjp9aT0,Satisfied,Hamilton (Original Broadway Cast Recording),"Renée Elise Goldsberry,Original Broadway Cast of Hamilton",9/25/2015,1163110866,2022-06-06T07:46:24Z,musicals,Atlantic Records,329228,73,0.707,0.593,-8.581,0.0949,0.287,0,0.15,0.478,123.772
1CzeuSrm71wHP9qsjg7p3F,The Story of Tonight - Reprise,Hamilton (Original Broadway Cast Recording),"Okieriete Onaodowan,Daveed Diggs,Lin-Manuel Miranda,Leslie Odom Jr.,Anthony Ramos",9/25/2015,1163110866,2022-06-06T07:46:29Z,musicals,Atlantic Records,115879,66,0.724,0.305,-12.763,0.257,0.68,0,0.128,0.594,81.874
7EqpEBPOohgk7NnKvBGFWo,Wait for It,Hamilton (Original Broadway Cast Recording),"Leslie Odom Jr.,Original Broadway Cast of Hamilton",9/25/2015,1163110866,2022-06-06T07:46:32Z,musicals,Atlantic Records,193749,74,0.543,0.473,-9.638,0.157,0.124,0.00000404,0.0922,0.519,86.534
6oF8ueLn5hIl4PRp17sxW6,That Would Be Enough,Hamilton (Original Broadway Cast Recording),"Phillipa Soo,Lin-Manuel Miranda",9/25/2015,1163110866,2022-06-06T07:46:37Z,musicals,Atlantic Records,178445,66,0.499,0.2,-10.276,0.0355,0.819,0,0.115,0.185,137.367
7m9XR7FquXLP1FewdAcNS9,Guns and Ships,Hamilton (Original Broadway Cast Recording),"Leslie Odom Jr.,Daveed Diggs,Christopher Jackson,Original Broadway Cast of Hamilton",9/25/2015,1163110866,2022-06-06T07:46:40Z,musicals,Atlantic Records,127578,71,0.72,0.666,-6.914,0.328,0.399,0,0.0844,0.383,138.03
1mGO8rwCE9zk7H06OxcU5m,History Has Its Eyes on You,Hamilton (Original Broadway Cast Recording),"Christopher Jackson,Lin-Manuel Miranda,Original Broadway Cast of Hamilton",9/25/2015,1163110866,2022-06-06T07:46:44Z,musicals,Atlantic Records,97050,66,0.438,0.373,-9.769,0.0291,0.803,0,0.123,0.274,77.415
2sEq2rC3ynYsT49x7utWnd,Dear Theodosia,Hamilton (Original Broadway Cast Recording),"Leslie Odom Jr.,Lin-Manuel Miranda",9/25/2015,1163110866,2022-06-06T07:46:48Z,musicals,Atlantic Records,184004,68,0.598,0.221,-10.484,0.0303,0.907,0.0000419,0.0723,0.274,106.771
2W9u3whoCkQYOUbmnSrHi1,What'd I Miss,Hamilton (Original Broadway Cast Recording),"Daveed Diggs,Leslie Odom Jr.,Okieriete Onaodowan,Original Broadway Cast of Hamilton",9/25/2015,1163110866,2022-06-06T07:46:51Z,musicals,Atlantic Records,236701,67,0.539,0.577,-7.763,0.386,0.169,0,0.14,0.319,177.787
2qFIJT5hjqaNFA1GKwl9me,Take a Break,Hamilton (Original Broadway Cast Recording),"Phillipa Soo,Lin-Manuel Miranda,Renée Elise Goldsberry,Anthony Ramos",9/25/2015,1163110866,2022-06-06T07:46:55Z,musicals,Atlantic Records,286485,66,0.552,0.371,-9.426,0.227,0.587,0,0.18,0.587,81.548
3s9itRgJYcKhem01P17865,Say No to This,Hamilton (Original Broadway Cast Recording),"Jasmine Cephas-Jones,Leslie Odom Jr.,Lin-Manuel Miranda,Sydney James Harcourt,Original Broadway Cast of Hamilton",9/25/2015,1163110866,2022-06-06T07:47:05Z,musicals,Atlantic Records,242017,68,0.754,0.535,-8.156,0.305,0.464,0,0.19,0.395,81.035
2TK2KSrzXD6W01qjXVjNGh,The Room Where It Happens,Hamilton (Original Broadway Cast Recording),"Leslie Odom Jr.,Lin-Manuel Miranda,Daveed Diggs,Okieriete Onaodowan,Original Broadway Cast of Hamilton",9/25/2015,1163110866,2022-06-06T07:47:09Z,musicals,Atlantic Records,318214,70,0.638,0.49,-9.382,0.426,0.271,0,0.664,0.511,173.552
0Iys022UwQ8xBfxE1g4nWZ,One Last Time,Hamilton (Original Broadway Cast Recording),"Christopher Jackson,Lin-Manuel Miranda,Original Broadway Cast of Hamilton",9/25/2015,1163110866,2022-06-06T07:47:16Z,musicals,Atlantic Records,296387,65,0.449,0.42,-9.624,0.356,0.631,0,0.0805,0.41,176.989
4B3qvzOMzLQXLeYgPsG3KA,Burn,Hamilton (Original Broadway Cast Recording),Phillipa Soo,9/25/2015,1163110866,2022-06-06T07:47:21Z,musicals,Atlantic Records,225240,71,0.582,0.428,-9.13,0.0516,0.752,0,0.102,0.255,99.608
40LYL1Z6xgCn5cBybo5K0D,It's Quiet Uptown,Hamilton (Original Broadway Cast Recording),"Renée Elise Goldsberry,Lin-Manuel Miranda,Phillipa Soo,Original Broadway Cast of Hamilton",9/25/2015,1163110866,2022-06-06T07:47:26Z,musicals,Atlantic Records,270171,64,0.484,0.187,-14.076,0.0423,0.796,0,0.0785,0.227,129.753
0LpHC9mhPAQC98IjXZIrif,The Election of 1800,Hamilton (Original Broadway Cast Recording),"Daveed Diggs,Okieriete Onaodowan,Leslie Odom Jr.,Lin-Manuel Miranda,Original Broadway Cast of Hamilton",9/25/2015,1163110866,2022-06-06T07:47:29Z,musicals,Atlantic Records,237982,64,0.731,0.42,-10.199,0.462,0.319,0,0.306,0.645,67.426
6SHI6STEW51cQkAXBRpLNj,Your Obedient Servant,Hamilton (Original Broadway Cast Recording),"Leslie Odom Jr.,Lin-Manuel Miranda,Original Broadway Cast of Hamilton",9/25/2015,1163110866,2022-06-06T07:47:32Z,musicals,Atlantic Records,150063,67,0.736,0.37,-11.072,0.502,0.293,0,0.042,0.619,165.908
3akeuMy9bqJbqDlfYevbwN,Heart of Stone,Six: The Musical (Studio Cast Recording),"SIX,Natalie Paris",8/31/2018,1163110866,2022-06-06T07:47:53Z,musicals,"6 Music Ltd a division of Loudmouth, under exclusive license from Ex-Wives Ltd",311301,60,0.513,0.426,-8.14,0.03,0.452,0,0.115,0.101,115.196
34TY5bMvFrfPlZ7jqeGxi4,I Don't Need Your Love,Six: The Musical (Studio Cast Recording),"SIX,Izuka Hoyle",8/31/2018,1163110866,2022-06-06T07:47:59Z,musicals,"6 Music Ltd a division of Loudmouth, under exclusive license from Ex-Wives Ltd",367989,58,0.535,0.447,-8.569,0.0612,0.326,0,0.192,0.331,97.611
03GBiorLGTk7T4IScIl4jj,Ex-Wives,Six: The Musical (Studio Cast Recording),SIX,8/31/2018,1163110866,2022-06-06T07:48:05Z,musicals,"6 Music Ltd a division of Loudmouth, under exclusive license from Ex-Wives Ltd",350218,65,0.703,0.443,-9.601,0.0862,0.0499,0,0.338,0.367,136.647
3jnntYfllN05QxplcXtpaS,Six,Six: The Musical (Studio Cast Recording),SIX,8/31/2018,1163110866,2022-06-06T07:48:10Z,musicals,"6 Music Ltd a division of Loudmouth, under exclusive license from Ex-Wives Ltd",239795,63,0.729,0.674,-6.249,0.0435,0.159,0,0.105,0.64,135.026
1XgDUFMCnxWkvXIA06wzSx,At the End of the Day - Live,"Les Misérables: The Staged Concert (The Sensational 2020 Live Recording) [Live from the Gielgud Theatre, London]",The 2020 Les Misérables Staged Concert Company,11/20/2020,1163110866,2022-06-06T07:49:39Z,musicals,Arts Music/First Night,315680,35,0.527,0.483,-10.578,0.104,0.716,0,0.24,0.559,124.527
0ajdqboWw5mJLeKriZRvys,I Dreamed a Dream - Live,"Les Misérables: The Staged Concert (The Sensational 2020 Live Recording) [Live from the Gielgud Theatre, London]",Carrie Hope Fletcher,11/20/2020,1163110866,2022-06-06T07:49:44Z,musicals,Arts Music/First Night,249799,39,0.221,0.132,-15.862,0.0432,0.874,0.0000333,0.705,0.0681,84.978
1q7GmUJNLRQnZ5m72RjnDA,Who Am I? - Live,"Les Misérables: The Staged Concert (The Sensational 2020 Live Recording) [Live from the Gielgud Theatre, London]",Alfie Boe,11/20/2020,1163110866,2022-06-06T07:49:50Z,musicals,Arts Music/First Night,197280,34,0.348,0.229,-16.117,0.0645,0.827,0,0.736,0.134,95.273
07Cv2yHKf9HMcpLIbkK2Vg,The Confrontation - Live,"Les Misérables: The Staged Concert (The Sensational 2020 Live Recording) [Live from the Gielgud Theatre, London]","Alfie Boe,Michael Ball",11/20/2020,1163110866,2022-06-06T07:49:54Z,musicals,Arts Music/First Night,141879,34,0.492,0.428,-12.299,0.242,0.782,0,0.738,0.372,84.26
0QMv6Ld0W7mMkicPBNSY9E,Stars - Live,"Les Misérables: The Staged Concert (The Sensational 2020 Live Recording) [Live from the Gielgud Theatre, London]",Michael Ball,11/20/2020,1163110866,2022-06-06T07:50:04Z,musicals,Arts Music/First Night,231426,34,0.383,0.289,-13.95,0.0518,0.838,0,0.91,0.291,88.211
7rdxFdYp86f2bxQQSDuA66,ABC Café / Red & Black - Live,"Les Misérables: The Staged Concert (The Sensational 2020 Live Recording) [Live from the Gielgud Theatre, London]",The 2020 Les Misérables Staged Concert Male Ensemble,11/20/2020,1163110866,2022-06-06T07:50:07Z,musicals,Arts Music/First Night,317799,32,0.442,0.439,-12.883,0.233,0.843,0,0.93,0.32,91.9
0tMbq544KKdnANRKw0glTn,In My Life - Live,"Les Misérables: The Staged Concert (The Sensational 2020 Live Recording) [Live from the Gielgud Theatre, London]","Lily Kerhoas,Alfie Boe,Rob Houchen,Shan Ako",11/20/2020,1163110866,2022-06-06T07:50:11Z,musicals,Arts Music/First Night,223759,32,0.419,0.142,-19.249,0.0697,0.91,0,0.431,0.145,85.09
1UEXqqkd3c1I1FJngc73T0,A Heart Full of Love - Live,"Les Misérables: The Staged Concert (The Sensational 2020 Live Recording) [Live from the Gielgud Theatre, London]","Lily Kerhoas,Rob Houchen,Shan Ako",11/20/2020,1163110866,2022-06-06T07:50:14Z,musicals,Arts Music/First Night,138186,32,0.279,0.137,-19.05,0.0377,0.915,0,0.117,0.0692,82.088
3R9BMrcczJW3iEJ24TYYyZ,One Day More - Live,"Les Misérables: The Staged Concert (The Sensational 2020 Live Recording) [Live from the Gielgud Theatre, London]",The 2020 Les Misérables Staged Concert Company,11/20/2020,1163110866,2022-06-06T07:50:19Z,musicals,Arts Music/First Night,237320,38,0.241,0.382,-10.567,0.0345,0.846,0,0.668,0.264,86.915
