Track Name,Album Name,Artist Name(s),Duration (ms),pop,Genres,dance,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Song Age
No Matter Where You Are,No Matter Where You Are,Us The Duo,178826,51,folk,0.693,0.664,4,-5.852,1,0.0336,0.0309,0,0.223,0.436,132.059,4,10.921286789869953
I'm Yours,I'm Yours,Jason Mraz,243494,56,pop,0.693,0.43,11,-9.395,1,0.0442,0.565,0,0.0928,0.731,151.001,4,17.138945927446954
Sugar,V,Maroon 5,235493,80,pop,0.748,0.788,1,-7.055,1,0.0334,0.0591,0,0.0863,0.884,120.076,4,10.584531143052704
What is Love?,Summer Nights,TWICE,208240,73,pop,0.574,0.909,8,-1.573,1,0.0658,0.0987,0,0.264,0.569,169.966,4,6.7351129363449695
If I Can't Have You,Shawn Mendes (Deluxe),Shawn Mendes,191466,72,pop,0.691,0.823,2,-4.197,1,0.0622,0.489,0,0.134,0.87,123.943,4,5.790554414784395
soul,Nostalgia Pack,"Forrest Frank,Forrest.",178280,51,hip hop,0.852,0.854,9,-3.941,1,0.367,0.0287,0,0.148,0.842,139.946,4,1.8562628336755647
Wake Me Up Before You Go-Go,Make It Big,Wham!,231333,79,christmas,0.62,0.573,0,-11.893,1,0.0423,0.271,0,0.0607,0.897,81.548,4,40.44353183
you mean the whole wide world to me,you mean the whole wide world to me,Christina Perri,108953,45,pop,0.888,0.327,0,-10.787,1,0.0435,0.963,1.16e-05,0.103,0.773,133.962,4,6.3025325119780975
Beautiful (feat. Camila Cabello),Beautiful (feat. Camila Cabello),"Bazzi,Camila Cabello",180000,70,pop,0.638,0.717,2,-4.722,1,0.0337,0.346,0,0.105,0.249,100.027,4,6.669404517453799
Trouble,Me and My Uke,Never Shout Never,145906,54,emo,0.809,0.28,10,-8.818,1,0.329,0.918,0,0.179,0.564,122.046,4,15.41409993155373
Falling In Love,No Matter Where You Are,Us The Duo,229280,33,folk,0.634,0.434,9,-9.079,1,0.0253,0.737,4.82e-06,0.17,0.352,82.474,3,10.921286789869953
Lost in the Woods,Frozen 2 (Original Motion Picture Soundtrack/Deluxe Edition),Jonathan Groff,180762,66,musicals,0.366,0.478,8,-6.972,1,0.0277,0.695,8.91e-06,0.124,0.293,149.318,4,5.382614647501711
Sad Song (feat. Elena Coats),Somewhere Somehow,"We The Kings,Elena Coates",226330,65,pop,0.512,0.526,1,-5.44,1,0.0251,0.0724,0,0.0675,0.249,85.024,4,12.251882272416154
All of Me,Love In The Future (Expanded Edition),John Legend,269560,86,pop,0.422,0.264,8,-7.064,1,0.0322,0.922,0,0.132,0.331,119.93,4,11.592060232717317
SUGA SWEET,SUGA SWEET,FAKY,172800,22,anime,0.541,0.839,1,-3.454,0,0.0479,0.0423,8.47e-06,0.087,0.427,174.98,4,7.592060232717317
Perfect Two,Perfect Two,Auburn,233628,46,russelåter,0.52,0.355,7,-7.228,1,0.0503,0.828,0,0.0898,0.743,78.062,4,11.756331279945243
Better Together,Better Together,Us The Duo,200706,59,folk,0.761,0.311,5,-10.597,1,0.0692,0.647,0,0.15,0.553,109.891,4,9.932922655715263
Say You Won't Let Go,Back from the Edge,James Arthur,211466,84,pop,0.358,0.557,10,-7.398,1,0.059,0.695,0,0.0902,0.494,85.043,4,8.429842573579739
Nine in the Afternoon - Single Mix,Pretty. Odd.,Panic! At The Disco,191560,54,emo,0.405,0.689,10,-5.75,1,0.0365,0.0843,0,0.207,0.397,155.189,4,17.026694045174537
Stupid for You,Double Dare,Waterparks,191544,54,pop,0.581,0.922,1,-3.408,0,0.0666,0.024,0,0.202,0.596,118.408,4,8.413415468856947
