Track Name,Album Name,Artist Name(s),Duration (ms),pop,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Song Age
Water,Water,Tyla,200255,85,afrobeats,0.673,0.722,3,-3.495,0,0.0755,0.0856,0,0.137,0.519,117.187,4,1.6837782340862424
Ocean Prime (feat. Boldy James),rock,"The Alchemist,Boldy James",99906,63,hip hop,0.583,0.604,2,-8.437,1,0.456,0.735,0,0.724,0.691,49.305,5,5.593429158110883
We Are Young (feat. Janelle Monáe),Some Nights,"fun.,Janelle Monáe",250626,79,r&b,0.378,0.638,10,-5.576,1,0.075,0.02,7.66e-05,0.0849,0.735,184.086,4,13.13347022587269
FREEDOM,BLUE ENCOUNT HALL TOUR 2019 apartment of SICK(S) SET LIST,BLUE ENCOUNT,239893,43,anime,0.484,0.94,7,-4.013,1,0.069,0.000262,0,0.285,0.241,102.034,4,5.713894592744696
光るなら,Milk,Goose house,252133,67,anime,0.491,0.879,6,-2.722,0,0.0652,0.391,0,0.342,0.571,160.092,4,10.102669404517453
Prayer X,Sympa,King Gnu,195226,57,anime,0.528,0.752,11,-6.006,1,0.28,0.419,0,0.181,0.542,174.112,4,6.2121834360027375
残響散歌,残響散歌,Aimer,184893,67,anime,0.367,0.896,11,-4.002,1,0.091,0.000627,0,0.207,0.38,170.863,4,3.323750855578371
Chikatto Chika Chikattsu (From Kaguya-sama: Love Is War),Chikatto Chika Chikattsu (From Kaguya-sama: Love Is War),"Akano,Jonatan King",95140,23,anime,0.755,0.886,11,-6.384,0,0.244,0.193,1.68e-06,0.118,0.32,178.002,4,5.678302532511978
"Centimeter (From Rent a Girlfriend: Kanojo, Okarishimasu)","Centimeter (From Rent a Girlfriend: Kanojo, Okarishimasu)",Miura Jam,225343,32,anime,0.622,0.864,2,-6.196,1,0.0399,0.00275,0.00036,0.301,0.796,139.954,4,4.602327173169062
Cry Baby,Cry Baby,OFFICIAL HIGE DANDISM,240284,59,anime,0.318,0.902,1,-4.605,1,0.131,0.0116,0,0.393,0.437,199.844,4,3.9069130732375084
LOST IN PARADISE,LOST IN PARADISE,"ALI,AKLO",327966,65,anime,0.648,0.904,6,-4.565,0,0.0786,0.0961,2.07e-06,0.0629,0.728,121.994,4,4.479123887748118
キミの隣,Assortrip,halca,279133,39,anime,0.596,0.854,5,-3.011,1,0.0365,0.0135,1.44e-06,0.337,0.58,134.971,4,7.252566735112937
DADDY ! DADDY ! DO !,rock,"Masayuki Suzuki,鈴木愛理",254640,62,anime,0.684,0.815,8,-3.826,0,0.0496,0.322,0,0.12,0.819,138.104,4,4.9664613278576315
SOUVENIR,SOUVENIR,BUMP OF CHICKEN,264126,59,anime,0.622,0.94,2,-4.997,1,0.0413,0.0094,6.48e-06,0.0957,0.96,158.056,4,2.510609171800137
カワキヲアメク,カワキヲアメク,美波,251933,69,anime,0.546,0.808,6,-4.52,0,0.0536,0.0148,0.00014,0.185,0.511,129.165,4,6.1738535249828885
Kaikai Kitan,Kaikai Kitan / Ao No Waltz,Eve,221426,72,anime,0.584,0.911,5,-3.515,0,0.09,0.0119,0,0.119,0.606,92.502,4,4.276522929500342
EVERBLUE,EVERBLUE,Omoinotake,241866,46,anime,0.597,0.895,8,-4.225,0,0.173,0.0463,0,0.299,0.498,134.985,4,3.5044490075290895
Touch You,アニメ『ヤリチン☆ビッチ部』主題歌「Touch You」,"遠野高志,加島優,矢口恭介,ジミー,百合絢斗,田村唯,明美圭一,糸目幸士郎,鹿谷樹",206180,62,anime,0.603,0.964,8,-2.886,0,0.0487,0.00655,3.04e-06,0.143,0.796,135.028,4,6.633812457221081
ラブ・ドラマティック,ラブ・ドラマティック,"Masayuki Suzuki,伊原六花",263613,54,anime,0.71,0.798,9,-5.309,1,0.0343,0.364,0,0.354,0.789,129.039,4,6.097193703
