Track Name,Album Name,Artist Name(s),Duration (ms),Popularity,Genres,dance,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Song Age
Crawl,Chrysalis,Chloe Florence,184918,19,afro house,0.736,0.737,11,-7.825,1,0.086,0.309,0.00693,0.0943,0.458,122.027,4,0.8788501026694046
Midnight Ride,Midnight Ride,"Orville Peck,Kylie Minogue,Diplo",211525,57,country,0.627,0.821,6,-4.9,0,0.0425,0.012,1.41e-05,0.0694,0.582,118.014,4,0.8213552361396304
All My Love,Fountain Baby,Amaarae,43160,39,afro house,0.323,0.194,5,-14.569,0,0.0311,0.818,0.964,0.445,0.0382,76.144,4,1.8179329226557153
Angels in Tibet,Fountain Baby,Amaarae,142613,68,afro house,0.798,0.664,5,-6.043,0,0.102,0.282,0.294,0.135,0.555,140.038,4,1.8179329226557153
FREEDOM,BLUE ENCOUNT HALL TOUR 2019 apartment of SICK(S) SET LIST,BLUE ENCOUNT,239893,42,anime,0.484,0.94,7,-4.013,1,0.069,0.000262,0,0.285,0.241,102.034,4,5.713894592744696
Prayer X,Sympa,King Gnu,195226,56,anime,0.528,0.752,11,-6.006,1,0.28,0.419,0,0.181,0.542,174.112,4,6.2121834360027375
Kaikai Kitan,Kaikai Kitan / Ao No Waltz,Eve,221426,72,anime,0.584,0.911,5,-3.515,0,0.09,0.0119,0,0.119,0.606,92.502,4,4.276522929500342
found & lost,s p a c e [ s ],Survive Said The Prophet,188960,51,anime,0.547,0.987,1,-3.71,0,0.0783,0.000133,0.000303,0.343,0.382,104.086,4,6.5188227241615335
"Centimeter (From Rent a Girlfriend: Kanojo, Okarishimasu)","Centimeter (From Rent a Girlfriend: Kanojo, Okarishimasu)",Miura Jam,225343,32,anime,0.622,0.864,2,-6.196,1,0.0399,0.00275,0.00036,0.301,0.796,139.954,4,4.602327173169062
炎,炎,LiSA,275000,60,anime,0.477,0.685,2,-4.554,1,0.0325,0.105,0,0.277,0.308,152.04,4,4.473648186173854
GIRI GIRI,GIRI GIRI,"Masayuki Suzuki,すぅ",258765,49,anime,0.78,0.889,11,-4.053,1,0.0351,0.223,0,0.0484,0.961,127.993,4,2.967830253251198
光るなら,Milk,Goose house,252133,67,anime,0.491,0.879,6,-2.722,0,0.0652,0.391,0,0.342,0.571,160.092,4,10.102669404517453
ラブ・ドラマティック (Funky Flag Version),Funky Flag,"Masayuki Suzuki,伊原六花",262946,48,anime,0.714,0.796,9,-4.949,1,0.0327,0.257,0,0.237,0.802,129.031,4,6.058863792
DADDY ! DADDY ! DO !,rock,"Masayuki Suzuki,鈴木愛理",254640,62,anime,0.684,0.815,8,-3.826,0,0.0496,0.322,0,0.12,0.819,138.104,4,4.9664613278576315
センチメンタルクライシス,Assortrip,halca,243960,49,anime,0.409,0.896,7,-2.535,1,0.105,0.0107,0.0018,0.127,0.577,167.127,4,7.252566735112937
ハートはお手上げ,ハートはお手上げ,鈴木愛理,227027,40,anime,0.647,0.939,5,-2.658,1,0.0953,0.224,8.37e-05,0.169,0.689,156.982,4,2.948665297741273
風に吹かれて,ハルカカナタヘ,福原 遥,272826,39,anime,0.388,0.611,3,-3.724,1,0.0334,0.291,0,0.063,0.401,179.933,4,2.8199863107460645
ないものねだり,僕がCDを出したら,KANA-BOON,262693,58,anime,0.471,0.77,6,-3.783,0,0.102,0.0002,0.00308,0.0974,0.529,174.85,4,11.942505133470226
My Nonfiction,My Nonfiction,"白銀御行(CV:古川慎),藤原千花(CV:小原好美)",155931,44,anime,0.724,0.923,11,-3.42,1,0.225,0.568,0,0.344,0.797,155.091,4,2.8993839835728954
Daddy! Daddy! Do! (Kaguya-Sama: Love Is War),Daddy! Daddy! Do! (Kaguya-Sama: Love Is War),Miura Jam,273237,32,anime,0.607,0.767,6,-7.907,1,0.033,0.0525,0,0.121,0.689,138.962,4,4.936344969199179
