Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
5ydjxBSUIDn26MFzU3asP4,"Rainy Days","Layover","V",2023-08-11,179560,69,l3jqesl78ql7blc0lmkq6j85d,2025-03-20T21:10:44Z,"k-pop","BIGHIT MUSIC",0.633,0.454,9,-8.016,0,0.0875,0.739,0,0.148,0.282,74.828,4
2UU11hvjN1JIn4iihEodNT,"Blue","Layover","V",2023-09-08,149853,66,l3jqesl78ql7blc0lmkq6j85d,2025-03-20T21:10:44Z,"k-pop","BIGHIT MUSIC",0.735,0.442,2,-9.529,0,0.0719,0.68,0.0011,0.0992,0.277,128.013,4
2N0SPREDYqILVEFSsWF5N5,"Love Me Again","Layover","V",2023-08-11,182293,74,l3jqesl78ql7blc0lmkq6j85d,2025-03-20T21:10:44Z,"k-pop","BIGHIT MUSIC",0.633,0.607,0,-6.182,0,0.0532,0.183,0.00000138,0.167,0.363,74.029,4
4HAOgAnILvXCbSODMoRnmD,"For Us","Layover","V",2023-09-08,171160,67,l3jqesl78ql7blc0lmkq6j85d,2025-03-20T21:10:44Z,"k-pop","BIGHIT MUSIC",0.556,0.339,1,-11.128,0,0.033,0.798,0.0118,0.172,0.215,84.968,4
7pgbDdy7ax962o9d2xJceV,"Slow Dancing (Piano Ver.)","Layover","V",2023-09-08,188093,63,l3jqesl78ql7blc0lmkq6j85d,2025-03-20T21:10:44Z,"k-pop","BIGHIT MUSIC",0.609,0.614,8,-8.154,1,0.0699,0.366,0.00108,0.108,0.564,156.019,4
0rKWJnmo6Q0ovoPOLoLm0t,"TOO MUCH","TOO MUCH","The Kid LAROI,Jung Kook,Central Cee",2023-10-19,203894,64,l3jqesl78ql7blc0lmkq6j85d,2025-03-20T21:10:44Z,"k-pop,uk drill,drill,grime","Columbia",0.753,0.719,10,-5.607,0,0.199,0.264,0,0.154,0.474,94.977,4
3wQnyXNFXNUEOBt1pb4urq,"I Need U","The Most Beautiful Moment in Life Pt.1","BTS",2015-04-29,210986,70,l3jqesl78ql7blc0lmkq6j85d,2025-03-20T21:10:44Z,"k-pop","BIGHIT MUSIC",0.478,0.88,5,-3.097,0,0.0739,0.0213,0,0.24,0.707,158.356,4
1FpQ2EPJarW7rpjFGGd8Jd,"Blue Butterflies","Blue Butterflies","JHIN",2023-08-25,137903,63,l3jqesl78ql7blc0lmkq6j85d,2025-03-20T21:10:44Z,"","JHIN",0.74,0.559,1,-7.291,0,0.0314,0.599,0,0.309,0.689,92.956,4
3W2kGv8CcwRl2MWQN5vxKL,"STUPID IN LOVE (feat. HUH YUNJIN of LE SSERAFIM)","LOVE IN STEREO","MAX,HUH YUNJIN",2024-02-16,173336,66,l3jqesl78ql7blc0lmkq6j85d,2025-03-20T21:10:44Z,"k-pop","Warner Records",0.656,0.695,8,-5.295,0,0.103,0.0824,0,0.38,0.589,152.859,4
6nzCvAtyADh0wwZEVMoujK,"By My Side","By My Side","JUNNY",2020-03-11,206680,57,l3jqesl78ql7blc0lmkq6j85d,2025-03-20T21:10:44Z,"k-rap","mauve company",0.466,0.429,8,-4.52,1,0.0445,0.672,0,0.0928,0.375,179.462,3
