Track Name,Album Name,Artist Name(s),Added At,Genres,Duration (ms),Popularity,Danceability,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Song Age,Play Count
Sunkissed,Now and Then,khai dreams,2025-03-21T00:00:28Z,,126464,60,0.766,6,-9.486,0.0543,0.595,0.0,0.381,0.792,153.902,4,5.45927446954141,232.0
UWU,UWU,Chevy,2025-03-21T00:00:28Z,,109966,49,0.859,5,-16.614,0.0886,0.985,0.0,0.138,0.177,116.889,4,6.261464750171116,29.0
Lemonade,Thankful,"Jeremy Passion,Melissa Polinar,Gabe Bondoc",2025-03-21T00:00:28Z,,184084,56,0.519,8,-11.927,0.049,0.726,0.0,0.142,0.563,122.366,4,5.327857631759069,43.0
No Matter Where You Are,No Matter Where You Are,Us The Duo,2025-03-21T00:00:28Z,folk pop,178826,51,0.693,4,-5.852,0.0336,0.0309,0.0,0.223,0.436,132.059,4,10.902121834360027,27.0
I'm Yours,I'm Yours,Jason Mraz,2025-03-21T00:00:28Z,"soft pop,acoustic pop",243494,56,0.693,11,-9.395,0.0442,0.565,0.0,0.0928,0.731,151.001,4,17.11978097193703,61.0
I Do Adore,Anchor,Mindy Gledhill,2025-03-21T00:00:28Z,,149160,46,0.69,9,-5.626,0.066,0.947,0.0,0.0895,0.8,74.721,4,14.628336755646815,30.0
Sugar,V,Maroon 5,2025-03-21T00:00:28Z,pop,235493,80,0.748,1,-7.055,0.0334,0.0591,0.0,0.0863,0.884,120.076,4,10.56536618754278,37.0
What is Love?,Summer Nights,TWICE,2025-03-21T00:00:28Z,k-pop,208240,73,0.574,8,-1.573,0.0658,0.0987,0.0,0.264,0.569,169.966,4,6.715947980835044,51.0
La Da Dee,Surfers Paradise (Expanded),Cody Simpson,2025-03-21T00:00:28Z,,196786,64,0.657,5,-5.544,0.0728,0.00847,0.0,0.326,0.566,115.954,4,11.676933607118412,42.0
If I Can't Have You,Shawn Mendes (Deluxe),Shawn Mendes,2025-03-21T00:00:28Z,pop,191466,72,0.691,2,-4.197,0.0622,0.489,0.0,0.134,0.87,123.943,4,5.771389459274469,73.0
Your Soul,Nostalgia Pack,"Forrest Frank,Forrest.",2025-03-21T00:00:28Z,"christian hip hop,christian pop,pop worship,christian,worship,gospel r&b",178280,51,0.852,9,-3.941,0.367,0.0287,0.0,0.148,0.842,139.946,4,1.83709787816564,97.0
Sucker,Happiness Begins,Jonas Brothers,2025-03-21T00:00:28Z,,181026,77,0.842,1,-5.065,0.0588,0.0427,0.0,0.106,0.952,137.958,4,5.804243668720055,4.0
Wake Me Up Before You Go-Go,Make It Big,Wham!,2025-03-21T00:00:28Z,christmas,231333,79,0.62,0,-11.893,0.0423,0.271,0.0,0.0607,0.897,81.548,4,40.42436687200548,30.0
Me & You,Stuck On Repeat,Stereo Skyline,2025-03-21T00:00:28Z,,179266,11,0.725,9,-3.269,0.166,0.00615,0.0,0.151,0.678,149.962,4,14.685831622176591,26.0
the snack that smiles back (feat. raychel jay),MANGOTALE,"Shawn Wasabi,raychel jay",2025-03-21T00:00:28Z,,204308,36,0.761,4,-1.898,0.121,0.646,0.00014,0.326,0.309,94.011,4,4.826830937713894,26.0
Bubblegum K.K. (From Animal Crossing: New Leaf),Year 7,Qumu,2025-03-21T00:00:28Z,,158400,46,0.488,7,-12.519,0.0754,0.286,0.871,0.0662,0.431,113.23,5,3.5345653661875427,23.0
The Cuppycake Song,The Cuppycake Song,Amy Castle,2025-03-21T00:00:28Z,,42885,51,0.572,0,-6.521,0.0385,0.394,0.000666,0.0824,0.513,120.352,4,30.2340862422998,22.0
you mean the whole wide world to me,you mean the whole wide world to me,Christina Perri,2025-03-21T00:00:28Z,soft pop,108953,45,0.888,0,-10.787,0.0435,0.963,1.16e-05,0.103,0.773,133.962,4,6.283367556468172,24.0
Beautiful (feat. Camila Cabello),Beautiful (feat. Camila Cabello),"Bazzi,Camila Cabello",2025-03-21T00:00:28Z,pop,180000,70,0.638,2,-4.722,0.0337,0.346,0.0,0.105,0.249,100.027,4,6.650239561943874,1.0
Sunny Side Up,Horizons,Surfaces,2025-03-21T00:00:28Z,,171133,45,0.849,7,-8.248,0.0553,0.428,0.0,0.08,0.497,124.953,4,5.075975359342916,103.0
Trouble,Me and My Uke,Never Shout Never,2025-03-21T00:00:28Z,emo,145906,54,0.809,10,-8.818,0.329,0.918,0.0,0.179,0.564,122.046,4,15.394934976043803,67.0
Let's Fall in Love for the Night,Blood Harmony,FINNEAS,2025-03-21T00:00:28Z,,190348,70,0.737,5,-7.941,0.104,0.802,0.0,0.171,0.374,127.918,4,5.478439425051334,174.0
Falling In Love,No Matter Where You Are,Us The Duo,2025-03-21T00:00:28Z,folk pop,229280,33,0.634,9,-9.079,0.0253,0.737,4.82e-06,0.17,0.352,82.474,3,10.902121834360027,26.0
Lost in the Woods,Frozen 2 (Original Motion Picture Soundtrack/Deluxe Edition),Jonathan Groff,2025-03-21T00:00:28Z,musicals,180762,66,0.366,8,-6.972,0.0277,0.695,8.91e-06,0.124,0.293,149.318,4,5.363449691991787,28.0
Sad Song (feat. Elena Coats),Somewhere Somehow,"We The Kings,Elena Coates",2025-03-21T00:00:28Z,pop punk,226330,65,0.512,1,-5.44,0.0251,0.0724,0.0,0.0675,0.249,85.024,4,12.232717316906228,19.0
All of Me,Love In The Future (Expanded Edition),John Legend,2025-03-21T00:00:28Z,"soft pop,neo soul",269560,86,0.422,8,-7.064,0.0322,0.922,0.0,0.132,0.331,119.93,4,11.572895277207392,23.0
Sugar Sugar,Everything's Archie,The Archies,2025-03-21T00:00:28Z,,167213,68,0.757,2,-7.259,0.0275,0.399,0.0,0.108,0.965,122.439,4,55.36481861738535,31.0
SUGA SWEET,SUGA SWEET,FAKY,2025-03-21T00:00:28Z,"j-pop,anime,j-r&b",172800,22,0.541,1,-3.454,0.0479,0.0423,8.47e-06,0.087,0.427,174.98,4,7.572895277207392,23.0
Mine,COSMIC,Bazzi,2025-03-21T00:00:28Z,,131064,72,0.71,4,-3.874,0.0722,0.0161,2.77e-06,0.451,0.717,142.929,4,6.95687885010267,26.0
Indigo,Head In The Clouds II,"88rising,NIKI",2025-03-21T00:00:28Z,,173473,62,0.819,7,-5.612,0.0828,0.0959,1.89e-06,0.263,0.709,144.992,4,5.45927446954141,89.0
Perfect Two,Perfect Two,Auburn,2025-03-21T00:00:28Z,russelåter,233628,46,0.52,7,-7.228,0.0503,0.828,0.0,0.0898,0.743,78.062,4,11.737166324435318,25.0
Beautiful Soul,Beautiful Soul,Jesse McCartney,2025-03-21T00:00:28Z,,214226,69,0.66,9,-4.342,0.0472,0.0759,0.0,0.0268,0.933,89.975,4,21.234770704996578,27.0
Better Together,Better Together,Us The Duo,2025-03-21T00:00:28Z,folk pop,200706,59,0.761,5,-10.597,0.0692,0.647,0.0,0.15,0.553,109.891,4,9.91375770020534,27.0
Say You Won't Let Go,Back from the Edge,James Arthur,2025-03-21T00:00:28Z,soft pop,211466,84,0.358,10,-7.398,0.059,0.695,0.0,0.0902,0.494,85.043,4,8.410677618069816,26.0
Rhythm Of Love,Wonders Of The Younger,Plain White T's,2025-03-21T00:00:28Z,,200200,59,0.531,8,-7.721,0.0432,0.356,0.0,0.119,0.726,171.878,4,15.233401779603012,28.0
Nine in the Afternoon - Single Mix,Pretty. Odd.,Panic! At The Disco,2025-03-21T00:00:28Z,emo,191560,54,0.405,10,-5.75,0.0365,0.0843,0.0,0.207,0.397,155.189,4,17.00752908966461,94.0
What Makes You Beautiful,Up All Night,One Direction,2025-03-21T00:00:28Z,,199986,84,0.726,4,-2.494,0.0737,0.009,0.0,0.0596,0.888,124.99,4,12.837782340862423,36.0
Stupid for You,Double Dare,Waterparks,2025-03-21T00:00:28Z,pop punk,191544,54,0.581,1,-3.408,0.0666,0.024,0.0,0.202,0.596,118.408,4,8.394250513347023,24.0
Like Ooh-Ahh,The Story Begins,TWICE,2025-03-21T00:00:28Z,k-pop,215080,63,0.721,6,-1.166,0.0783,0.241,0.000105,0.382,0.692,141.994,4,9.43463381245722,20.0
What I've Been Looking For (Reprise),High School Musical,"Troy,Gabriella,Disney",2025-03-21T00:00:28Z,,79906,55,0.584,9,-12.346,0.0396,0.874,0.0,0.159,0.226,110.03,4,19.23340177960301,25.0
"1, 2, 3, 4",Big Bad World,Plain White T's,2025-03-21T00:00:28Z,,198360,57,0.458,2,-7.092,0.0262,0.566,1.39e-05,0.108,0.56,90.56,4,17.234770704996578,22.0
Bubbly,Coco,Colbie Caillat,2025-03-21T00:00:28Z,,196280,68,0.697,9,-6.663,0.0351,0.603,0.0,0.11,0.249,127.904,4,18.2340862422998,22.0
I Love You Too Much,The Book of Life (Original Motion Picture Soundtrack),"Gustavo Santaolalla,Diego Luna",2025-03-21T00:00:28Z,soundtrack,155320,58,0.403,0,-9.601,0.0428,0.854,9.5e-06,0.198,0.21,206.198,3,10.491444216290212,24.0
Can't Help Falling In Love,Crazy Rich Asians (Original Motion Picture Soundtrack),Kina Grannis,2025-03-21T00:00:28Z,acoustic pop,201933,67,0.266,0,-18.515,0.0363,0.905,7.07e-05,0.132,0.143,181.74,3,6.628336755646817,41.0
Isn't She Lovely,The Definitive Collection (Deluxe Edition),Stevie Wonder,2025-03-21T00:00:28Z,"motown,soul",199386,69,0.747,1,-8.956,0.0474,0.202,3.39e-05,0.0698,0.904,118.698,4,22.409308692676248,21.0
Missin' You Like Crazy,Us,Us The Duo,2025-03-21T00:00:28Z,folk pop,206146,39,0.742,10,-9.596,0.0398,0.607,0.0,0.101,0.438,78.505,4,12.780287474332647,5.0
If I Could Tell Her,Dear Evan Hansen (Original Broadway Cast Recording),"Ben Platt,Laura Dreyfuss",2025-03-21T00:00:28Z,musicals,248653,59,0.584,4,-8.249,0.0405,0.647,0.0,0.152,0.455,96.026,4,8.14236824093087,8.0
Underwater,Wave Two,Cody Simpson,2025-03-21T00:00:28Z,,208960,39,0.643,9,-7.514,0.0357,0.122,0.000124,0.103,0.31,97.019,4,6.091718001368926,2.0
Banana Pancakes,In Between Dreams,Jack Johnson,2025-03-21T00:00:28Z,surf rock,191906,70,0.816,7,-8.053,0.0996,0.607,8.66e-06,0.0933,0.615,114.303,4,20.23271731690623,1.0
Grow as We Go,Sing To Me Instead,Ben Platt,2025-03-21T00:00:28Z,musicals,249426,59,0.458,8,-14.083,0.0355,0.882,0.0,0.15,0.437,80.824,4,5.9958932238193015,7.0
Can't Help Falling in Love,Better,Haley Reinhart,2025-03-21T00:00:28Z,,173174,71,0.409,0,-13.919,0.038,0.947,0.0,0.108,0.247,138.083,4,8.908966461327857,21.0
Sucker,Happiness Begins,Jonas Brothers,2025-03-21T00:00:28Z,,181026,77,0.842,1,-5.065,0.0588,0.0427,0.0,0.106,0.952,137.958,4,5.804243668720055,2.0
Crazy Beautiful,Crazy Beautiful EP,Andy Grammer,2025-03-21T00:00:28Z,,205053,45,0.616,11,-3.808,0.0418,0.0617,0.0,0.0547,0.671,100.522,4,8.353182751540041,4.0
Our First Song,Our First Song,Joseph Vincent,2025-03-21T00:00:28Z,,171028,54,0.701,11,-10.844,0.0477,0.958,1.14e-05,0.0938,0.723,158.087,4,8.936344969199178,3.0
Absolutely Smitten,Intertwined - EP,dodie,2025-03-21T00:00:28Z,,181000,44,0.667,9,-10.577,0.0346,0.456,0.00316,0.703,0.507,118.947,4,8.353182751540041,2.0
All About Your Heart,Anchor,Mindy Gledhill,2025-03-21T00:00:28Z,,248946,34,0.564,11,-8.557,0.0247,0.7,0.00132,0.121,0.0894,93.999,4,14.628336755646815,1.0
If You're the Coffee,The Arcadian Wild,The Arcadian Wild,2025-03-21T00:00:28Z,christian folk,234750,37,0.758,11,-7.1,0.0376,0.898,0.0,0.201,0.494,120.056,4,9.585215605749486,1.0
Heregoesnothin,The Yippee EP,Never Shout Never,2025-03-21T00:00:28Z,emo,206533,40,0.494,3,-5.026,0.43,0.127,0.0,0.123,0.262,170.041,4,15.731690622861054,4.0
Moon River,I Dream of You: CALM,JJ Heller,2025-03-21T00:00:28Z,"christian folk,lullaby",291386,47,0.411,7,-10.178,0.0308,0.916,0.0,0.1,0.155,74.92,3,6.466803559206023,2.0
Why,COSMIC,Bazzi,2025-03-21T00:00:28Z,,148259,65,0.676,8,-6.584,0.0374,0.353,0.0,0.103,0.54,113.01,4,6.95687885010267,24.0
Bad Habit,Sing To Me Instead,Ben Platt,2025-03-21T00:00:28Z,musicals,262760,43,0.339,5,-6.374,0.0325,0.379,0.0,0.102,0.121,134.336,4,5.9958932238193015,3.0
It Don't Matter (feat. Donavon Frankenreiter),Free,"Cody Simpson,Donavon Frankenreiter",2025-03-21T00:00:28Z,surf rock,179893,29,0.868,0,-5.991,0.0298,0.175,0.0,0.285,0.738,108.949,4,9.713894592744696,2.0
I Will Spend My Whole Life Loving You,All My Love,"Imaginary Future,Kina Grannis",2025-03-21T00:00:28Z,"folk pop,acoustic pop",227619,54,0.636,11,-17.074,0.0347,0.887,0.0,0.0719,0.299,125.798,4,6.973305954825462,3.0
Real Estate,Real Estate,Adam Melchor,2025-03-21T00:00:28Z,,216000,51,0.495,2,-12.81,0.0311,0.953,0.00819,0.151,0.187,80.027,4,6.310746064339494,1.0
a thousand years,a thousand years,Christina Perri,2025-03-21T00:00:28Z,soft pop,285120,84,0.421,10,-7.445,0.0267,0.309,0.000961,0.11,0.161,139.028,3,13.440109514031484,1.0
Gravity,Little Voice,Sara Bareilles,2025-03-21T00:00:28Z,,232760,63,0.27,0,-10.357,0.0356,0.834,0.0,0.146,0.231,168.964,4,17.73305954825462,2.0
Marry Me,"Save Me, San Francisco (Golden Gate Edition)",Train,2025-03-21T00:00:28Z,soft pop,205453,64,0.461,0,-8.514,0.0278,0.834,2.03e-05,0.107,0.481,87.918,4,14.318959616700887,2.0
Rainbow,Golden Hour,Kacey Musgraves,2025-03-21T00:00:28Z,,214293,65,0.581,3,-7.697,0.0329,0.88,0.0,0.107,0.349,130.367,4,6.992470910335387,1.0
Turning Page,Turning Page,Sleeping At Last,2025-03-21T00:00:28Z,,255893,69,0.307,3,-8.498,0.0288,0.923,0.0253,0.11,0.189,115.241,3,12.772073921971252,1.0
The Most Beautiful Thing,To Let A Good Thing Die,Bruno Major,2025-03-21T00:00:28Z,,235426,67,0.806,7,-10.386,0.0344,0.541,0.0489,0.111,0.418,127.498,4,4.80766598220397,1.0
I Won't Give Up,Love Is a Four Letter Word (Deluxe Edition),Jason Mraz,2025-03-21T00:00:28Z,"soft pop,acoustic pop",240165,72,0.483,4,-10.058,0.0429,0.694,0.0,0.115,0.139,133.406,3,12.952772073921972,1.0
Somewhere Only We Know,Somewhere Only We Know,Lily Allen,2025-03-21T00:00:28Z,,208154,57,0.314,10,-10.191,0.035,0.935,0.0258,0.0999,0.278,172.021,4,11.37577002053388,1.0
"Flightless Bird, American Mouth",The Shepherd's Dog,Iron & Wine,2025-03-21T00:00:28Z,"indie folk,chamber pop,folk",241917,68,0.369,3,-7.996,0.0259,0.827,0.0541,0.106,0.177,154.899,3,17.503080082135522,1.0
Night Changes,FOUR (Deluxe),One Direction,2025-03-21T00:00:28Z,,226600,88,0.672,8,-7.747,0.0353,0.859,0.0,0.115,0.37,120.001,4,10.35728952772074,5.0
Lost in You,Lost in You,khai dreams,2025-03-21T00:00:28Z,,101000,52,0.77,5,-12.02,0.115,0.337,0.0,0.121,0.791,90.028,4,7.5482546201232035,22.0
Little Talks,Little Talks,"Julia Sheer,Jon D",2025-03-21T00:00:28Z,,219760,55,0.637,5,-9.094,0.0399,0.873,0.0,0.164,0.487,97.423,4,12.2217659137577,1.0
Mr. & Mrs. Beautiful,Simple Distance,"The Workday Release,Anais Nicole",2025-03-21T00:00:28Z,,192446,23,0.606,1,-7.355,0.0299,0.76,0.0,0.0735,0.618,72.509,4,13.385352498288844,1.0
By My Side,By My Side,David Choi,2025-03-21T00:00:28Z,,213036,38,0.574,4,-12.204,0.0374,0.821,0.00828,0.119,0.316,146.686,4,14.858316221765914,36.0
i love you more than you will ever know,Harmony,Never Shout Never,2025-03-21T00:00:28Z,emo,153440,39,0.6,0,-6.659,0.0258,0.452,0.0,0.147,0.411,105.006,4,14.5927446954141,1.0
