Track Name,Album Name,Artist Name(s),Added At,Genres,Duration (ms),Popularity,Danceability,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Song Age,Play Count
No Matter Where You Are,No Matter Where You Are,Us The Duo,2025-03-21T00:00:28Z,folk pop,178826,51,0.693,4,-5.852,0.0336,0.0309,0,0.223,0.436,132.059,4,10.902121834360027,27
I'm Yours,I'm Yours,Jason Mraz,2025-03-21T00:00:28Z,"soft pop,acoustic pop",243494,56,0.693,11,-9.395,0.0442,0.565,0,0.0928,0.731,151.001,4,17.11978097193703,61
Sugar,V,Maroon 5,2025-03-21T00:00:28Z,pop,235493,80,0.748,1,-7.055,0.0334,0.0591,0,0.0863,0.884,120.076,4,10.56536618754278,37
What is Love?,Summer Nights,TWICE,2025-03-21T00:00:28Z,k-pop,208240,73,0.574,8,-1.573,0.0658,0.0987,0,0.264,0.569,169.966,4,6.715947980835044,51
If I Can't Have You,Shawn Mendes (Deluxe),Shawn Mendes,2025-03-21T00:00:28Z,pop,191466,72,0.691,2,-4.197,0.0622,0.489,0,0.134,0.87,123.943,4,5.771389459274469,73
Your Soul,Nostalgia Pack,"Forrest Frank,Forrest.",2025-03-21T00:00:28Z,"christian hip hop,christian pop,pop worship,christian,worship,gospel r&b",178280,51,0.852,9,-3.941,0.367,0.0287,0,0.148,0.842,139.946,4,1.837097878,97
Wake Me Up Before You Go-Go,Make It Big,Wham!,2025-03-21T00:00:28Z,christmas,231333,79,0.62,0,-11.893,0.0423,0.271,0,0.0607,0.897,81.548,4,40.42436687200548,30
you mean the whole wide world to me,you mean the whole wide world to me,Christina Perri,2025-03-21T00:00:28Z,soft pop,108953,45,0.888,0,-10.787,0.0435,0.963,1.16e-05,0.103,0.773,133.962,4,6.283367556468172,24
Beautiful (feat. Camila Cabello),Beautiful (feat. Camila Cabello),"Bazzi,Camila Cabello",2025-03-21T00:00:28Z,pop,180000,70,0.638,2,-4.722,0.0337,0.346,0,0.105,0.249,100.027,4,6.650239561943874,1
Trouble,Me and My Uke,Never Shout Never,2025-03-21T00:00:28Z,emo,145906,54,0.809,10,-8.818,0.329,0.918,0,0.179,0.564,122.046,4,15.394934976043803,67
Falling In Love,No Matter Where You Are,Us The Duo,2025-03-21T00:00:28Z,folk pop,229280,33,0.634,9,-9.079,0.0253,0.737,4.82e-06,0.17,0.352,82.474,3,10.902121834360027,26
Lost in the Woods,Frozen 2 (Original Motion Picture Soundtrack/Deluxe Edition),Jonathan Groff,2025-03-21T00:00:28Z,musicals,180762,66,0.366,8,-6.972,0.0277,0.695,8.91e-06,0.124,0.293,149.318,4,5.363449691991787,28
Sad Song (feat. Elena Coats),Somewhere Somehow,"We The Kings,Elena Coates",2025-03-21T00:00:28Z,pop punk,226330,65,0.512,1,-5.44,0.0251,0.0724,0,0.0675,0.249,85.024,4,12.232717316906228,19
All of Me,Love In The Future (Expanded Edition),John Legend,2025-03-21T00:00:28Z,"soft pop,neo soul",269560,86,0.422,8,-7.064,0.0322,0.922,0,0.132,0.331,119.93,4,11.572895277207392,23
SUGA SWEET,SUGA SWEET,FAKY,2025-03-21T00:00:28Z,"j-pop,anime,j-r&b",172800,22,0.541,1,-3.454,0.0479,0.0423,8.47e-06,0.087,0.427,174.98,4,7.572895277207392,23
Perfect Two,Perfect Two,Auburn,2025-03-21T00:00:28Z,russelåter,233628,46,0.52,7,-7.228,0.0503,0.828,0,0.0898,0.743,78.062,4,11.737166324435318,25
Better Together,Better Together,Us The Duo,2025-03-21T00:00:28Z,folk pop,200706,59,0.761,5,-10.597,0.0692,0.647,0,0.15,0.553,109.891,4,9.9137577,27
Say You Won't Let Go,Back from the Edge,James Arthur,2025-03-21T00:00:28Z,soft pop,211466,84,0.358,10,-7.398,0.059,0.695,0,0.0902,0.494,85.043,4,8.410677618069816,26
Nine in the Afternoon - Single Mix,Pretty. Odd.,Panic! At The Disco,2025-03-21T00:00:28Z,emo,191560,54,0.405,10,-5.75,0.0365,0.0843,0,0.207,0.397,155.189,4,17.00752908966461,94
Stupid for You,Double Dare,Waterparks,2025-03-21T00:00:28Z,pop punk,191544,54,0.581,1,-3.408,0.0666,0.024,0,0.202,0.596,118.408,4,8.394250513347023,24
Like Ooh-Ahh,The Story Begins,TWICE,2025-03-21T00:00:28Z,k-pop,215080,63,0.721,6,-1.166,0.0783,0.241,0.000105,0.382,0.692,141.994,4,9.434633812,20
I Love You Too Much,The Book of Life (Original Motion Picture Soundtrack),"Gustavo Santaolalla,Diego Luna",2025-03-21T00:00:28Z,soundtrack,155320,58,0.403,0,-9.601,0.0428,0.854,9.5e-06,0.198,0.21,206.198,3,10.491444216290212,24
Can't Help Falling In Love,Crazy Rich Asians (Original Motion Picture Soundtrack),Kina Grannis,2025-03-21T00:00:28Z,acoustic pop,201933,67,0.266,0,-18.515,0.0363,0.905,7.07e-05,0.132,0.143,181.74,3,6.628336755646817,41
Isn't She Lovely,The Definitive Collection (Deluxe Edition),Stevie Wonder,2025-03-21T00:00:28Z,"motown,soul",199386,69,0.747,1,-8.956,0.0474,0.202,3.39e-05,0.0698,0.904,118.698,4,22.409308692676248,21
Missin' You Like Crazy,Us,Us The Duo,2025-03-21T00:00:28Z,folk pop,206146,39,0.742,10,-9.596,0.0398,0.607,0,0.101,0.438,78.505,4,12.780287474332647,5
If I Could Tell Her,Dear Evan Hansen (Original Broadway Cast Recording),"Ben Platt,Laura Dreyfuss",2025-03-21T00:00:28Z,musicals,248653,59,0.584,4,-8.249,0.0405,0.647,0,0.152,0.455,96.026,4,8.142368241,8
Banana Pancakes,In Between Dreams,Jack Johnson,2025-03-21T00:00:28Z,surf rock,191906,70,0.816,7,-8.053,0.0996,0.607,8.66e-06,0.0933,0.615,114.303,4,20.23271731690623,1
Grow as We Go,Sing To Me Instead,Ben Platt,2025-03-21T00:00:28Z,musicals,249426,59,0.458,8,-14.083,0.0355,0.882,0,0.15,0.437,80.824,4,5.9958932238193015,7
If You're the Coffee,The Arcadian Wild,The Arcadian Wild,2025-03-21T00:00:28Z,christian folk,234750,37,0.758,11,-7.1,0.0376,0.898,0,0.201,0.494,120.056,4,9.585215605749486,1
Heregoesnothin,The Yippee EP,Never Shout Never,2025-03-21T00:00:28Z,emo,206533,40,0.494,3,-5.026,0.43,0.127,0,0.123,0.262,170.041,4,15.731690622861054,4
Moon River,I Dream of You: CALM,JJ Heller,2025-03-21T00:00:28Z,"christian folk,lullaby",291386,47,0.411,7,-10.178,0.0308,0.916,0,0.1,0.155,74.92,3,6.466803559206023,2
Bad Habit,Sing To Me Instead,Ben Platt,2025-03-21T00:00:28Z,musicals,262760,43,0.339,5,-6.374,0.0325,0.379,0,0.102,0.121,134.336,4,5.9958932238193015,3
It Don't Matter (feat. Donavon Frankenreiter),Free,"Cody Simpson,Donavon Frankenreiter",2025-03-21T00:00:28Z,surf rock,179893,29,0.868,0,-5.991,0.0298,0.175,0,0.285,0.738,108.949,4,9.713894592744696,2
I Will Spend My Whole Life Loving You,All My Love,"Imaginary Future,Kina Grannis",2025-03-21T00:00:28Z,"folk pop,acoustic pop",227619,54,0.636,11,-17.074,0.0347,0.887,0,0.0719,0.299,125.798,4,6.973305954825462,3
a thousand years,a thousand years,Christina Perri,2025-03-21T00:00:28Z,soft pop,285120,84,0.421,10,-7.445,0.0267,0.309,0.000961,0.11,0.161,139.028,3,13.440109514031484,1
Marry Me,"Save Me, San Francisco (Golden Gate Edition)",Train,2025-03-21T00:00:28Z,soft pop,205453,64,0.461,0,-8.514,0.0278,0.834,2.03e-05,0.107,0.481,87.918,4,14.318959616700887,2
I Won't Give Up,Love Is a Four Letter Word (Deluxe Edition),Jason Mraz,2025-03-21T00:00:28Z,"soft pop,acoustic pop",240165,72,0.483,4,-10.058,0.0429,0.694,0,0.115,0.139,133.406,3,12.952772073921972,1
"Flightless Bird, American Mouth",The Shepherd's Dog,Iron & Wine,2025-03-21T00:00:28Z,"indie folk,chamber pop,folk",241917,68,0.369,3,-7.996,0.0259,0.827,0.0541,0.106,0.177,154.899,3,17.503080082135522,1
i love you more than you will ever know,Harmony,Never Shout Never,2025-03-21T00:00:28Z,emo,153440,39,0.6,0,-6.659,0.0258,0.452,0,0.147,0.411,105.006,4,14.5927447,1
Close To You,Us,Us The Duo,2025-03-21T00:00:28Z,folk pop,199133,15,0.688,7,-6.397,0.0362,0.141,0.000996,0.198,0.488,139.961,4,12.780287474332647,9
Shallow,Shallow,The Hound + The Fox,2025-03-21T00:00:28Z,lullaby,221712,46,0.581,7,-7.681,0.0354,0.251,0,0.123,0.329,95.691,4,6.209445585215605,3
Run Away,Sing To Me Instead,Ben Platt,2025-03-21T00:00:28Z,musicals,217933,41,0.499,5,-9.076,0.0363,0.938,1.22e-06,0.108,0.371,106.902,3,5.9958932238193015,1
Time Travel,Time Travel,Never Shout Never,2025-03-21T00:00:28Z,emo,337253,27,0.474,0,-7.709,0.0415,0.0066,0,0.541,0.104,135.112,4,13.527720739219712,1
Tightrope,The Greatest Showman (Original Motion Picture Soundtrack),Michelle Williams,2025-03-21T00:00:28Z,musicals,234360,70,0.351,9,-10.316,0.0382,0.3,9.14e-06,0.0919,0.191,161.564,3,7.299110198494182,1
A Million Dreams,The Greatest Showman (Original Motion Picture Soundtrack),"Ziv Zaifman,Hugh Jackman,Michelle Williams",2025-03-21T00:00:28Z,musicals,269453,75,0.265,7,-11.689,0.0569,0.243,0,0.0893,0.0998,54.747,3,7.299110198494182,3
From Now On,From Now On,Zac Brown Band,2025-03-21T00:00:28Z,"country,acoustic country",260959,50,0.541,3,-3.872,0.0342,0.114,0,0.356,0.263,110.013,4,6.360027378507871,1
The Greatest Show,The Greatest Show,Panic! At The Disco,2025-03-21T00:00:28Z,emo,174306,61,0.546,6,-5.365,0.0784,0.00546,0,0.382,0.491,77.009,4,6.398357289527721,3
