Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
34RmzDXMv0ELSQTK4pNvX3,"Sunkissed","Now and Then","khai dreams",2019-10-11,126464,60,l3jqesl78ql7blc0lmkq6j85d,2025-03-21T00:00:28Z,"","Khai Dreams",0.766,0.354,6,-9.486,1,0.0543,0.595,0,0.381,0.792,153.902,4
4aTKyYeIzC0ask2ZJicjIJ,"UWU","UWU","Chevy",2018-12-22,109966,49,l3jqesl78ql7blc0lmkq6j85d,2025-03-21T00:00:28Z,"","902751 Records DK",0.859,0.0434,5,-16.614,1,0.0886,0.985,0,0.138,0.177,116.889,4
6Jt96y5MkmIH0b3B8t9IbX,"Lemonade","Thankful","Jeremy Passion,Melissa Polinar,Gabe Bondoc",2019-11-28,184084,56,l3jqesl78ql7blc0lmkq6j85d,2025-03-21T00:00:28Z,"","Lemon Bee Mountain Music",0.519,0.198,8,-11.927,1,0.049,0.726,0,0.142,0.563,122.366,4
2XW4AAjfBQTzp7Oe1tU702,"No Matter Where You Are","No Matter Where You Are","Us The Duo",2014-05-02,178826,51,l3jqesl78ql7blc0lmkq6j85d,2025-03-21T00:00:28Z,"folk pop","Universal Records",0.693,0.664,4,-5.852,1,0.0336,0.0309,0,0.223,0.436,132.059,4
03yc0G2OoH1Eeyu7Piy8fK,"I'm Yours","I'm Yours","Jason Mraz",2008-02-12,243494,56,l3jqesl78ql7blc0lmkq6j85d,2025-03-21T00:00:28Z,"soft pop,acoustic pop","Atlantic Records/ATG",0.693,0.43,11,-9.395,1,0.0442,0.565,0,0.0928,0.731,151.001,4
6JNEDSev5Tp5VQR04SEBfV,"I Do Adore","Anchor","Mindy Gledhill",2010-08-10,149160,46,l3jqesl78ql7blc0lmkq6j85d,2025-03-21T00:00:28Z,"","Blue Morph Music",0.69,0.334,9,-5.626,1,0.066,0.947,0,0.0895,0.8,74.721,4
2iuZJX9X9P0GKaE93xcPjk,"Sugar","V","Maroon 5",2014-09-02,235493,80,l3jqesl78ql7blc0lmkq6j85d,2025-03-21T00:00:28Z,"pop","Interscope Records*",0.748,0.788,1,-7.055,1,0.0334,0.0591,0,0.0863,0.884,120.076,4
3zhbXKFjUDw40pTYyCgt1Y,"What is Love?","Summer Nights","TWICE",2018-07-09,208240,73,l3jqesl78ql7blc0lmkq6j85d,2025-03-21T00:00:28Z,"k-pop","Republic Records - TWICE",0.574,0.909,8,-1.573,1,0.0658,0.0987,0,0.264,0.569,169.966,4
0ccwMrlZONy5yXrirq7lTe,"La Da Dee","Surfers Paradise (Expanded)","Cody Simpson",2013-07-23,196786,64,l3jqesl78ql7blc0lmkq6j85d,2025-03-21T00:00:28Z,"","Warner Music Group - X5 Music Group",0.657,0.828,5,-5.544,1,0.0728,0.00847,0,0.326,0.566,115.954,4
2bT1PH7Cw3J9p3t7nlXCdh,"If I Can't Have You","Shawn Mendes (Deluxe)","Shawn Mendes",2019-06-19,191466,72,l3jqesl78ql7blc0lmkq6j85d,2025-03-21T00:00:28Z,"pop","Island Records",0.691,0.823,2,-4.197,1,0.0622,0.489,0,0.134,0.87,123.943,4
4g6ZNtgFm7pOvinj2IvLCy,"Your Soul","Nostalgia Pack","Forrest Frank,Forrest.",2023-05-26,178280,51,l3jqesl78ql7blc0lmkq6j85d,2025-03-21T00:00:28Z,"christian hip hop,christian pop,pop worship,christian,worship,gospel r&b","Forrest Frank Music Inc. / 10K Projects",0.852,0.854,9,-3.941,1,0.367,0.0287,0,0.148,0.842,139.946,4
22vgEDb5hykfaTwLuskFGD,"Sucker","Happiness Begins","Jonas Brothers",2019-06-07,181026,77,l3jqesl78ql7blc0lmkq6j85d,2025-03-21T00:00:28Z,"","Jonas Brothers Recording",0.842,0.734,1,-5.065,0,0.0588,0.0427,0,0.106,0.952,137.958,4
0ikz6tENMONtK6qGkOrU3c,"Wake Me Up Before You Go-Go","Make It Big","Wham!",1984-10-23,231333,79,l3jqesl78ql7blc0lmkq6j85d,2025-03-21T00:00:28Z,"christmas","Columbia",0.62,0.573,0,-11.893,1,0.0423,0.271,0,0.0607,0.897,81.548,4
6aDWVSvEvWkFqI8Qee8cpv,"Me & You","Stuck On Repeat","Stereo Skyline",2010-07-20,179266,11,l3jqesl78ql7blc0lmkq6j85d,2025-03-21T00:00:28Z,"","Columbia",0.725,0.714,9,-3.269,1,0.166,0.00615,0,0.151,0.678,149.962,4
6gfDkakl2eWMuGSiOyStC3,"the snack that smiles back (feat. raychel jay)","MANGOTALE","Shawn Wasabi,raychel jay",2020-05-29,204308,36,l3jqesl78ql7blc0lmkq6j85d,2025-03-21T00:00:28Z,"","Facet/Warner Records",0.761,0.788,4,-1.898,1,0.121,0.646,0.00014,0.326,0.309,94.011,4
4S60298JoboRkLVxYiDEq4,"Bubblegum K.K. (From Animal Crossing: New Leaf)","Year 7","Qumu",2021-09-13,158400,46,l3jqesl78ql7blc0lmkq6j85d,2025-03-21T00:00:28Z,"","Qumu",0.488,0.484,7,-12.519,1,0.0754,0.286,0.871,0.0662,0.431,113.23,5
5OEGveW1vY5M61QeSjQC9V,"The Cuppycake Song","The Cuppycake Song","Amy Castle",1995-01-01,42885,51,l3jqesl78ql7blc0lmkq6j85d,2025-03-21T00:00:28Z,"","The Other Songs",0.572,0.217,0,-6.521,1,0.0385,0.394,0.000666,0.0824,0.513,120.352,4
7jTJDt7RWCslzygXM1C3Ja,"you mean the whole wide world to me","you mean the whole wide world to me","Christina Perri",2018-12-14,108953,45,l3jqesl78ql7blc0lmkq6j85d,2025-03-21T00:00:28Z,"soft pop","Elektra (NEK)",0.888,0.327,0,-10.787,1,0.0435,0.963,0.0000116,0.103,0.773,133.962,4
4VUwkH455At9kENOfzTqmF,"Beautiful (feat. Camila Cabello)","Beautiful (feat. Camila Cabello)","Bazzi,Camila Cabello",2018-08-02,180000,70,l3jqesl78ql7blc0lmkq6j85d,2025-03-21T00:00:28Z,"pop","iamcosmic",0.638,0.717,2,-4.722,1,0.0337,0.346,0,0.105,0.249,100.027,4
7t2Tfi4xtdSNfDb7A9TMsS,"Sunny Side Up","Horizons","Surfaces",2020-02-28,171133,45,l3jqesl78ql7blc0lmkq6j85d,2025-03-21T00:00:28Z,"","Surfaces Music / TenThousand Projects, LLC",0.849,0.487,7,-8.248,1,0.0553,0.428,0,0.08,0.497,124.953,4
4UuVbsWwTyfJ6CcNOCtzBe,"Trouble","Me and My Uke","Never Shout Never",2009-11-03,145906,54,l3jqesl78ql7blc0lmkq6j85d,2025-03-21T00:00:28Z,"emo","Loveway Records",0.809,0.28,10,-8.818,1,0.329,0.918,0,0.179,0.564,122.046,4
