Track Name,Album Name,Artist Name(s),Release Date,Added At,Genres,Duration (ms),Popularity,Danceability,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Play Count
FREEDOM,BLUE ENCOUNT HALL TOUR 2019 apartment of SICK(S) SET LIST,BLUE ENCOUNT,2019-07-17,2025-03-21T21:22:13Z,"anime,j-rock,j-pop",239893,43,0.484,7.0,-4.013,0.069,0.000262,0.0,0.285,0.241,102.034,4.0,14.0
光るなら,Milk,Goose house,2015-02-25,2025-03-21T21:22:13Z,"anime,j-pop",252133,67,0.491,6.0,-2.722,0.0652,0.391,0.0,0.342,0.571,160.092,4.0,16.0
Prayer X,Sympa,King Gnu,2019-01-16,2025-03-21T21:22:13Z,"j-pop,anime,j-rock",195226,57,0.528,11.0,-6.006,0.28,0.419,0.0,0.181,0.542,174.112,4.0,12.0
残響散歌,残響散歌,Aimer,2021-12-06,2025-03-21T21:22:13Z,"anime,j-pop,j-rock",184893,67,0.367,11.0,-4.002,0.091,0.000627,0.0,0.207,0.38,170.863,4.0,14.0
Chikatto Chika Chikattsu (From Kaguya-sama: Love Is War),Chikatto Chika Chikattsu (From Kaguya-sama: Love Is War),"Akano,Jonatan King",2019-07-30,2025-03-21T21:22:13Z,anime,95140,23,0.755,11.0,-6.384,0.244,0.193,1.68e-06,0.118,0.32,178.002,4.0,15.0
"Centimeter (From Rent a Girlfriend: Kanojo, Okarishimasu)","Centimeter (From Rent a Girlfriend: Kanojo, Okarishimasu)",Miura Jam,2020-08-26,2025-03-21T21:22:13Z,anime,225343,32,0.622,2.0,-6.196,0.0399,0.00275,0.00036,0.301,0.796,139.954,4.0,17.0
Cry Baby,Cry Baby,OFFICIAL HIGE DANDISM,2021-05-07,2025-03-21T21:22:13Z,"j-pop,anime,j-rock",240284,59,0.318,1.0,-4.605,0.131,0.0116,0.0,0.393,0.437,199.844,4.0,18.0
LOST IN PARADISE,LOST IN PARADISE,"ALI,AKLO",2020-10-10,2025-03-21T21:22:13Z,"anime,j-pop,j-rap,j-r&b",327966,65,0.648,6.0,-4.565,0.0786,0.0961,2.07e-06,0.0629,0.728,121.994,4.0,9.0
キミの隣,Assortrip,halca,2018,2025-03-21T21:22:13Z,"anime,j-pop",279133,39,0.596,5.0,-3.011,0.0365,0.0135,1.44e-06,0.337,0.58,134.971,4.0,11.0
DADDY ! DADDY ! DO !,ALL TIME ROCK 'N' ROLL,"Masayuki Suzuki,鈴木愛理",2020-04-15,2025-03-21T21:22:13Z,"anime,j-pop,kayokyoku,city pop",254640,62,0.684,8.0,-3.826,0.0496,0.322,0.0,0.12,0.819,138.104,4.0,15.0
SOUVENIR,SOUVENIR,BUMP OF CHICKEN,2022-09-29,2025-03-21T21:22:13Z,"j-pop,j-rock,anime",264126,59,0.622,2.0,-4.997,0.0413,0.0094,6.48e-06,0.0957,0.96,158.056,4.0,13.0
カワキヲアメク,カワキヲアメク,美波,2019-01-30,2025-03-21T21:22:13Z,"anime,j-pop,j-rock",251933,69,0.546,6.0,-4.52,0.0536,0.0148,0.00014,0.185,0.511,129.165,4.0,12.0
Kaikai Kitan,Kaikai Kitan / Ao No Waltz,Eve,2020-12-23,2025-03-21T21:22:13Z,"anime,j-pop,j-rock,vocaloid,japanese indie",221426,72,0.584,5.0,-3.515,0.09,0.0119,0.0,0.119,0.606,92.502,4.0,9.0
EVERBLUE,EVERBLUE,Omoinotake,2021-10-01,2025-03-21T21:22:13Z,"j-pop,city pop,anime,japanese indie",241866,46,0.597,8.0,-4.225,0.173,0.0463,0.0,0.299,0.498,134.985,4.0,9.0
