Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added At,Genres,Danceability,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Play Count
Rainy Days,Layover,V,2023-08-11,179560,69,2025-03-20T21:10:44Z,k-pop,0.633,9.0,-8.016,0.0875,0.739,0.0,0.148,0.282,74.828,4.0,254.0
Blue,Layover,V,2023-09-08,149853,66,2025-03-20T21:10:44Z,k-pop,0.735,2.0,-9.529,0.0719,0.68,0.0011,0.0992,0.277,128.013,4.0,214.0
Love Me Again,Layover,V,2023-08-11,182293,74,2025-03-20T21:10:44Z,k-pop,0.633,0.0,-6.182,0.0532,0.183,1.38e-06,0.167,0.363,74.029,4.0,230.0
For Us,Layover,V,2023-09-08,171160,67,2025-03-20T21:10:44Z,k-pop,0.556,1.0,-11.128,0.033,0.798,0.0118,0.172,0.215,84.968,4.0,198.0
Slow Dancing (Piano Ver.),Layover,V,2023-09-08,188093,63,2025-03-20T21:10:44Z,k-pop,0.609,8.0,-8.154,0.0699,0.366,0.00108,0.108,0.564,156.019,4.0,196.0
TOO MUCH,TOO MUCH,"The Kid LAROI,Jung Kook,Central Cee",2023-10-19,203894,64,2025-03-20T21:10:44Z,"k-pop,uk drill,drill,grime",0.753,10.0,-5.607,0.199,0.264,0.0,0.154,0.474,94.977,4.0,25.0
I Need U,The Most Beautiful Moment in Life Pt.1,BTS,2015-04-29,210986,70,2025-03-20T21:10:44Z,k-pop,0.478,5.0,-3.097,0.0739,0.0213,0.0,0.24,0.707,158.356,4.0,14.0
Blue Butterflies,Blue Butterflies,JHIN,2023-08-25,137903,63,2025-03-20T21:10:44Z,,0.74,1.0,-7.291,0.0314,0.599,0.0,0.309,0.689,92.956,4.0,11.0
STUPID IN LOVE (feat. HUH YUNJIN of LE SSERAFIM),LOVE IN STEREO,"MAX,HUH YUNJIN",2024-02-16,173336,66,2025-03-20T21:10:44Z,k-pop,0.656,8.0,-5.295,0.103,0.0824,0.0,0.38,0.589,152.859,4.0,123.0
By My Side,By My Side,JUNNY,2020-03-11,206680,57,2025-03-20T21:10:44Z,k-rap,0.466,8.0,-4.52,0.0445,0.672,0.0,0.0928,0.375,179.462,3.0,22.0
Intro: Singularity,Love Yourself 轉 'Tear',BTS,2018-05-18,196998,60,2025-03-20T21:10:44Z,k-pop,0.775,1.0,-9.126,0.091,0.56,0.00278,0.112,0.198,103.991,3.0,2.0
V (Peace) (feat. AKMU),Zip,"Zion.T,AKMU",2023-12-06,148747,50,2025-03-20T21:10:44Z,"k-rap,k-ballad,k-pop",0.84,10.0,-6.79,0.0918,0.257,0.000226,0.0669,0.925,160.064,4.0,1.0
Super Shy,NewJeans 'Super Shy',NewJeans,2023-07-07,154666,78,2025-03-20T21:10:44Z,k-pop,0.776,5.0,-6.018,0.0748,0.18,3.44e-05,0.146,0.515,149.921,4.0,8.0
Still With You,Still With You,Jung Kook,2020-06-05,239905,77,2025-03-20T21:10:44Z,k-pop,0.529,1.0,-6.967,0.0358,0.0899,1.53e-05,0.831,0.344,87.864,4.0,32.0
Back for More (with Anitta),Back for More (with Anitta),"TOMORROW X TOGETHER,Anitta",2023-09-15,131037,64,2025-03-20T21:10:44Z,"k-pop,brazilian pop,funk pop,funk carioca,funk,pagode baiano",0.785,4.0,-3.447,0.158,0.0452,0.0,0.222,0.891,115.916,4.0,5.0
Intro,My Everything (Deluxe),Ariana Grande,2014-08-22,79840,52,2025-03-20T21:10:44Z,pop,0.447,6.0,-12.439,0.0324,0.968,3.83e-05,0.327,0.0959,89.601,4.0,4.0
bye,eternal sunshine,Ariana Grande,2024-03-08,164927,76,2025-03-20T21:10:44Z,pop,0.606,2.0,-4.835,0.0333,0.204,0.0,0.14,0.453,110.016,4.0,4.0
don't wanna break up again,eternal sunshine,Ariana Grande,2024-03-08,174006,73,2025-03-20T21:10:44Z,pop,0.513,9.0,-5.09,0.253,0.397,0.0,0.113,0.574,129.3,5.0,4.0
Saturn Returns Interlude,eternal sunshine,Ariana Grande,2024-03-08,42166,65,2025-03-20T21:10:44Z,pop,0.533,6.0,-13.588,0.107,0.902,0.000281,0.139,0.845,123.316,5.0,4.0
eternal sunshine,eternal sunshine,Ariana Grande,2024-03-08,210200,75,2025-03-20T21:10:44Z,pop,0.654,9.0,-7.065,0.0982,0.533,0.0,0.101,0.347,160.011,4.0,4.0
supernatural,eternal sunshine,Ariana Grande,2024-03-08,163381,75,2025-03-20T21:10:44Z,pop,0.58,8.0,-6.924,0.117,0.0969,0.0,0.16,0.522,76.496,4.0,5.0
true story,eternal sunshine,Ariana Grande,2024-03-08,163278,70,2025-03-20T21:10:44Z,pop,0.698,9.0,-6.136,0.086,0.468,7.6e-06,0.313,0.423,137.954,4.0,4.0
the boy is mine,eternal sunshine,Ariana Grande,2024-03-08,173639,82,2025-03-20T21:10:44Z,pop,0.795,7.0,-5.854,0.0434,0.157,0.0,0.0732,0.447,97.998,4.0,15.0
2nd prettiest girl (in the world),girlfriend material,Lauran Hibberd,2024-03-22,168016,18,2025-03-20T21:10:44Z,,0.559,0.0,-4.595,0.0611,0.00873,0.0,0.148,0.748,180.021,4.0,4.0
boy i'd like to kill,boy i'd like to kill,sad alex,2024-02-16,147023,18,2025-03-20T21:10:44Z,,0.638,8.0,-5.887,0.362,0.08,0.000359,0.385,0.378,114.185,4.0,5.0
The Things I Do For Love,The Things I Do For Love,bludnymph,2024-01-10,160588,42,2025-03-20T21:10:44Z,,0.75,1.0,-4.415,0.111,0.229,0.0,0.454,0.768,136.001,4.0,14.0
Should We,Razzle,Emi Jeen,2024-04-08,153731,26,2025-03-20T21:10:44Z,,0.634,0.0,-5.936,0.173,0.0241,0.0,0.279,0.372,63.592,4.0,4.0
Bad Bitch (ft. Sage Charmaine),Bad Bitch (ft. Sage Charmaine),"Stileto,Sage Charmaine",2023-11-30,114558,43,2025-03-20T21:10:44Z,,0.561,5.0,-5.194,0.0434,0.0961,8.24e-06,0.0679,0.53,145.233,4.0,2.0
Pink Noise,Baby Teeth,Zoe Ko,2023-11-03,139773,31,2025-03-20T21:10:44Z,,0.66,5.0,-6.696,0.251,0.152,1.08e-05,0.193,0.795,180.078,4.0,1.0
SPOOKED,SPOOKED,XTINA GG,2023-10-27,152129,34,2025-03-20T21:10:44Z,,0.47,11.0,-9.538,0.262,0.0368,0.0,0.54,0.507,154.489,4.0,2.0
Masterpiece,Masterpiece,Cloudy June,2021-07-30,174847,48,2025-03-20T21:10:44Z,,0.501,4.0,-6.232,0.0859,0.277,0.0,0.325,0.477,79.929,4.0,15.0
DNA,Love Yourself 承 'Her',BTS,2017-09-18,223122,70,2025-03-20T21:10:44Z,k-pop,0.599,1.0,-4.018,0.0543,0.0217,0.0,0.0678,0.696,129.817,4.0,9.0
CALL ME BABY,EXODUS - The 2nd Album,EXO,2015-03-30,211013,64,2025-03-20T21:10:44Z,k-pop,0.692,1.0,-2.519,0.0519,0.284,0.0,0.341,0.879,100.03,4.0,7.0
Monster,EX'ACT,EXO,2016-06-09,221341,64,2025-03-20T21:10:44Z,k-pop,0.618,6.0,-4.312,0.0596,0.0066,0.0,0.127,0.541,150.0,4.0,17.0
Pretty U,SEVENTEEN 1ST ALBUM [FIRST ‘LOVE&LETTER’],SEVENTEEN,2016-04-25,207299,64,2025-03-20T21:10:44Z,k-pop,0.642,8.0,-2.82,0.163,0.0173,0.0,0.0815,0.884,155.088,4.0,12.0
For Youth,Proof,BTS,2022-06-10,264480,64,2025-03-20T21:10:44Z,k-pop,0.633,2.0,-5.665,0.0368,0.434,0.0,0.248,0.29,116.855,3.0,29.0
LOVE ME RIGHT,LOVE ME RIGHT - The 2nd Album Repackage,EXO,2015-06-03,205128,63,2025-03-20T21:10:44Z,k-pop,0.625,0.0,-2.33,0.0764,0.00266,0.0,0.188,0.757,110.04,4.0,5.0
Converse High,The Most Beautiful Moment in Life Pt.1,BTS,2015-04-29,209715,60,2025-03-20T21:10:44Z,k-pop,0.724,1.0,-3.982,0.0895,0.0597,0.0,0.201,0.817,98.003,4.0,8.0
Dope,The Most Beautiful Moment in Life Pt.1,BTS,2015-04-29,240020,67,2025-03-20T21:10:44Z,k-pop,0.595,10.0,-3.109,0.245,0.0486,0.0,0.32,0.62,154.071,4.0,12.0
The Boys,The Boys - The 3rd Album,Girls' Generation,2011-10-19,228880,59,2025-03-20T21:10:44Z,k-pop,0.885,1.0,-0.678,0.0898,0.142,0.0,0.103,0.878,114.974,4.0,10.0
Bubble Pop!,Bubble Pop!,HyunA,2011-07-05,212244,52,2025-03-20T21:10:44Z,k-pop,0.84,10.0,-4.662,0.0639,0.0842,0.00392,0.285,0.767,146.005,4.0,8.0
Volume Up,Volume Up,4Minute,2012-04-09,230008,45,2025-03-20T21:10:44Z,k-pop,0.641,3.0,-2.726,0.0337,0.014,0.000131,0.0792,0.454,130.045,4.0,12.0
Blood Sweat & Tears,Wings,BTS,2016-10-10,217051,72,2025-03-20T21:10:44Z,k-pop,0.584,0.0,-3.571,0.104,0.0244,0.0,0.357,0.605,92.9,4.0,9.0
Good Boy Gone Bad,minisode 2: Thursday's Child,TOMORROW X TOGETHER,2022-05-09,191038,66,2025-03-20T21:10:44Z,k-pop,0.475,1.0,-5.919,0.102,0.0159,0.0,0.125,0.552,100.009,4.0,12.0
VERY NICE,Love&Letter repackage album,SEVENTEEN,2016-07-04,192092,68,2025-03-20T21:10:44Z,k-pop,0.746,3.0,-2.818,0.0725,0.0526,0.0,0.0858,0.879,121.967,4.0,14.0
Miniskirt,MINISKIRT,AOA,2014-01-16,179808,70,2025-03-20T21:10:44Z,k-pop,0.758,5.0,-2.502,0.0464,0.43,0.0,0.201,0.963,119.992,4.0,13.0
PLAYBOY,EXODUS - The 2nd Album,EXO,2015-03-30,212132,51,2025-03-20T21:10:44Z,k-pop,0.529,1.0,-4.815,0.0814,0.213,0.0,0.102,0.666,79.951,4.0,6.0
