ts,platform,ms_played,conn_country,ip_addr,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,audiobook_title,audiobook_uri,audiobook_chapter_uri,audiobook_chapter_title,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode
2023-03-16T23:11:33Z,android,240506,CA,174.91.105.208,瞬き,ミラクルチンパンジー,TVアニメ「佐々木と宮野」オープニングテーマ「瞬き」,spotify:track:5FS9KaSs34YFQtwOZKVgFh,,,,,,,,trackdone,trackdone,True,False,False,1679008053.0,False
2023-03-16T23:15:35Z,android,241320,CA,174.91.105.208,FREEDOM,BLUE ENCOUNT,FREEDOM,spotify:track:2bHdWI2uCxPJIAACBQLsgm,,,,,,,,trackdone,trackdone,True,False,False,1679008293.0,False
2023-03-16T23:19:48Z,android,252133,CA,174.91.105.208,光るなら,Goose house,Milk,spotify:track:2BlDX1yfT0ea5wo0vjCKKa,,,,,,,,trackdone,trackdone,True,False,False,1679008535.0,False
2023-03-16T23:23:06Z,android,197856,CA,174.91.105.208,Prayer X,King Gnu,Prayer X,spotify:track:6VvXSjTQMP6eInrjz4kq2W,,,,,,,,trackdone,trackdone,True,False,False,1679008788.0,False
2023-03-16T23:26:13Z,android,184893,CA,174.91.105.208,残響散歌,Aimer,残響散歌,spotify:track:7v8wKvNQQIxkugCFFjrkaO,,,,,,,,trackdone,trackdone,True,False,False,1679008986.0,False
2023-03-16T23:29:48Z,android,95140,CA,174.91.105.208,"Chikatto Chika Chikattsu (From ""Kaguya-sama: Love Is War"")",Akano,"Chikatto Chika Chikattsu (From ""Kaguya-sama: Love Is War"")",spotify:track:7ys7frtlceqvYA8mEhKkkv,,,,,,,,trackdone,trackdone,True,False,False,1679009173.0,False
2023-03-16T23:33:34Z,android,225343,CA,174.91.105.208,"Centimeter (From ""Rent a Girlfriend: Kanojo, Okarishimasu"")",Miura Jam,"Centimeter (From ""Rent a Girlfriend: Kanojo, Okarishimasu"")",spotify:track:6dSEtLD9DHTaiygliV3kiO,,,,,,,,trackdone,trackdone,True,False,False,1679009388.0,False
2023-03-16T23:37:35Z,android,240284,CA,174.91.105.208,Cry Baby,OFFICIAL HIGE DANDISM,Cry Baby,spotify:track:3IDF7N86lrcWaJEt9C1gbS,,,,,,,,trackdone,trackdone,True,False,False,1679009614.0,False
2023-03-16T23:43:05Z,android,328960,CA,174.91.105.208,LOST IN PARADISE,ALI,LOST IN PARADISE,spotify:track:145wBbokDZTFZLFHOtZrzG,,,,,,,,trackdone,trackdone,True,False,False,1679009855.0,False
2023-03-16T23:47:43Z,android,279133,CA,174.91.105.208,キミの隣,halca,Assortrip,spotify:track:3JTQgVfYgBwzuvrF1uBYwW,,,,,,,,trackdone,trackdone,True,False,False,1679010184.0,False
2023-03-16T23:51:59Z,android,254640,CA,174.91.105.208,DADDY ! DADDY ! DO !,Masayuki Suzuki,ALL TIME ROCK 'N' ROLL,spotify:track:4xeWELPxBZKhhCrUr84jmp,,,,,,,,trackdone,trackdone,True,False,False,1679010464.0,False
2023-03-16T23:55:48Z,android,229032,CA,174.91.105.208,Akaza vs Rengoku Theme - Cover,Samuel Kim,Demon Slayer: Epic Collection,spotify:track:6PlmmpYjqWmMklFrxRxnaI,,,,,,,,trackdone,trackdone,True,False,False,1679010719.0,False
2023-03-17T00:00:13Z,android,264126,CA,174.91.105.208,SOUVENIR,BUMP OF CHICKEN,SOUVENIR,spotify:track:7qOsSOpiL3R8RKyiBtIYNQ,,,,,,,,trackdone,trackdone,True,False,False,1679010949.0,False
2023-03-17T00:04:26Z,android,251933,CA,174.91.105.208,カワキヲアメク,美波,カワキヲアメク,spotify:track:1gUAX2ImxDsB3YDcyxMXlB,,,,,,,,trackdone,trackdone,True,False,False,1679011213.0,False
2023-03-17T00:08:07Z,android,221426,CA,174.91.105.208,Kaikai Kitan,Eve,Kaikai Kitan / Ao No Waltz,spotify:track:6y4GYuZszeXNOXuBFsJlos,,,,,,,,trackdone,trackdone,True,False,False,1679011466.0,False
2023-03-17T00:12:06Z,android,239063,CA,174.91.105.208,,,,,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,Música Piola Que No Estaba En Spotify,spotify:episode:31yuCkRxJqYD4eSEtOyMiB,,,,,trackdone,trackdone,True,False,False,1679011688.0,False
2023-03-17T00:16:10Z,android,241866,CA,174.91.105.208,EVERBLUE,Omoinotake,EVERBLUE,spotify:track:5RmtuRIe8FJg9FRegwCqzW,,,,,,,,trackdone,trackdone,True,False,False,1679011927.0,False
2023-03-17T00:19:36Z,android,206180,CA,174.91.105.208,Touch You,遠野高志,アニメ『ヤリチン☆ビッチ部』主題歌「Touch You」,spotify:track:6qWEpnyU43Bcrx3vfbGuVm,,,,,,,,trackdone,trackdone,True,False,False,1679012170.0,False
